"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Pittsburgh Steelers (PIT)","7","4","1","2","1","0","0","1","26.0","26.0","89.2%"
"2","Miami Dolphins (MIA)","2","1","2","2","1","0","0","1","18.0","18.0","91.7%"
"3","Buffalo Bills (BUF)","7","3","0","0","0","0","0","1","17.0","17.0","74.0%"
"4","Los Angeles Chargers (LAC)","6","3","0","3","0","0","0","1","13.0","13.0","30.2%"
"5","Tampa Bay Buccaneers (TB)","4","1","0","0","0","0","0","1","13.0","13.0","49.0%"
"6","Minnesota Vikings (MIN)","4","1","1","1","0","0","0","1","12.0","12.0","26.2%"
"7","Baltimore Ravens (BAL)","3","1","1","2","0","0","0","1","11.0","11.0","84.7%"
"8","Chicago Bears (CHI)","2","1","1","1","0","0","0","1","10.0","10.0","3.9%"
"9","Los Angeles Rams (LAR)","2","2","2","2","0","0","0","1","9.0","9.0","22.6%"
"10","Tennessee Titans (TEN)","5","1","1","2","0","0","0","1","9.0","9.0","8.3%"
"11","Seattle Seahawks (SEA)","2","0","2","2","0","0","0","1","7.0","7.0","22.0%"
"12","Houston Texans (HOU)","2","1","1","1","0","0","0","1","7.0","7.0","54.5%"
"13","Indianapolis Colts (IND)","3","0","1","1","0","0","0","1","6.0","6.0","33.2%"
"14","Jacksonville Jaguars (JAC)","1","2","1","1","0","0","0","1","6.0","6.0","55.5%"
"15","Atlanta Falcons (ATL)","4","0","1","1","0","0","0","1","6.0","6.0","49.4%"
"16","Cleveland Browns (CLE)","4","1","0","1","0","0","0","1","6.0","6.0","82.1%"
"17","New Orleans Saints (NO)","0","0","2","2","0","0","0","1","6.0","6.0","60.5%"
"18","Denver Broncos (DEN)","2","0","1","3","0","0","0","1","5.0","5.0","23.5%"
"19","Philadelphia Eagles (PHI)","1","1","0","0","1","0","0","1","5.0","5.0","62.1%"
"20","Dallas Cowboys (DAL)","2","1","0","0","0","0","0","1","5.0","5.0","96.5%"
"21","San Francisco 49ers (SF)","2","1","0","0","0","0","0","1","5.0","5.0","94.9%"
"22","Washington Commanders (WAS)","2","1","0","1","0","0","0","1","4.0","4.0","18.0%"
"23","New York Jets (NYJ)","2","1","0","1","0","0","0","1","4.0","4.0","72.7%"
"24","New York Giants (NYG)","1","0","1","0","0","0","0","1","4.0","4.0","6.3%"
"25","New England Patriots (NE)","3","0","0","2","0","0","0","1","4.0","4.0","29.1%"
"26","Kansas City Chiefs (KC)","3","0","0","1","0","0","0","1","3.0","3.0","72.9%"
"27","Cincinnati Bengals (CIN)","1","0","0","1","0","0","0","1","2.0","2.0","19.4%"
"28","Green Bay Packers (GB)","1","0","0","0","0","0","0","1","1.0","1.0","54.0%"
"29","Carolina Panthers (CAR)","1","0","0","0","0","0","0","1","1.0","1.0","6.4%"
"30","Las Vegas Raiders (LV)","0","0","0","1","0","0","0","1","0.0","0.0","9.8%"
"31","Detroit Lions (DET)","1","0","0","0","0","0","0","1","0.0","0.0","32.8%"
"32","Arizona Cardinals (ARI)","0","0","1","3","0","0","0","1","-2.0","-2.0","1.0%"
""
""
