"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Greg Zuerlein (NYJ)","5","5","100.0","60","0","1","2","1","1","1","1","1","19.0","19.0","7.1%"
"2","Michael Badgley (DET)","4","4","100.0","47","0","0","1","3","0","4","4","1","19.0","19.0","0.0%"
"3","Robbie Gould (FA)","4","4","100.0","48","0","0","1","3","0","3","3","1","18.0","18.0","0.1%"
"4","Matthew Wright (NE)","4","4","100.0","48","0","0","1","3","0","1","1","1","16.0","16.0","0.0%"
"5","Younghoe Koo (ATL)","3","3","100.0","51","0","1","0","0","2","1","1","1","14.0","14.0","52.5%"
"6","Matt Gay (IND)","3","3","100.0","54","0","0","1","1","1","2","2","1","14.0","14.0","51.6%"
"7","Brandon McManus (JAC)","3","4","75.0","52","0","0","0","1","2","0","0","1","14.0","14.0","50.9%"
"8","Greg Joseph (MIN)","2","2","100.0","51","0","0","0","1","1","3","3","1","12.0","12.0","5.2%"
"9","Daniel Carlson (LV)","2","3","66.7","55","0","1","0","0","1","3","3","1","11.0","11.0","37.9%"
"10","Cade York (NYG)","2","2","100.0","43","0","0","0","2","0","3","3","1","11.0","11.0","0.1%"
"11","Evan McPherson (CIN)","2","2","100.0","41","0","0","1","1","0","3","3","1","10.0","10.0","77.2%"
"12","Jason Myers (SEA)","2","2","100.0","41","0","1","0","1","0","3","3","1","10.0","10.0","53.9%"
"13","Wil Lutz (DEN)","3","3","100.0","38","0","2","1","0","0","1","1","1","10.0","10.0","15.3%"
"14","Graham Gano (NYG)","2","3","66.7","48","0","1","0","1","0","2","2","1","9.0","9.0","11.8%"
"15","Chase McLaughlin (TB)","2","2","100.0","52","0","0","1","0","1","1","1","1","9.0","9.0","5.1%"
"16","Joey Slye (WAS)","2","3","66.7","42","0","1","0","1","0","2","2","1","9.0","9.0","1.0%"
"17","Cairo Santos (CHI)","2","3","66.7","40","0","1","0","1","0","1","2","1","8.0","8.0","6.5%"
"18","Mason Crosby (LAR)","2","2","100.0","32","0","1","1","0","0","2","2","1","8.0","8.0","0.1%"
"19","Cameron Dicker (LAC)","2","3","66.7","37","0","0","2","0","0","2","2","1","8.0","8.0","71.0%"
"20","Ka'imi Fairbairn (HOU)","2","2","100.0","44","0","0","1","1","0","0","0","1","7.0","7.0","2.4%"
"21","Riley Patterson (DET)","2","2","100.0","42","0","0","1","1","0","0","0","1","7.0","7.0","42.8%"
"22","Tyler Bass (BUF)","1","1","100.0","48","0","0","0","1","0","3","3","1","7.0","7.0","59.2%"
"23","Harrison Butker (KC)","1","2","50.0","26","0","1","0","0","0","3","3","1","6.0","6.0","91.8%"
"24","Jason Sanders (MIA)","1","1","100.0","43","0","0","0","1","0","2","2","1","6.0","6.0","63.5%"
"25","Brett Maher (FA)","0","0","0","0","0","0","0","0","0","6","7","1","6.0","6.0","2.8%"
"26","Jake Elliott (PHI)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","87.2%"
"27","Ryan Succop (FA)","1","1","100.0","21","0","1","0","0","0","2","2","1","5.0","5.0","0.0%"
"28","Randy Bullock (NYG)","1","1","100.0","36","0","0","1","0","0","1","1","1","4.0","4.0","0.1%"
"29","Nick Folk (TEN)","1","2","50.0","39","0","0","1","0","0","1","1","1","4.0","4.0","33.1%"
"30","Justin Tucker (BAL)","1","1","100.0","26","0","1","0","0","0","1","1","1","4.0","4.0","93.6%"
"31","Tristan Vizcaino (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"32","Quinn Nordin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"33","Michael Palardy (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","33.3%"
""
""
