"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Younghoe Koo (ATL)","4","5","80.0","54","0","1","0","1","2","2","2","1","19.0","19.0","52.5%"
"2","Cade York (NYG)","4","4","100.0","58","0","1","2","0","1","2","2","1","16.0","16.0","0.1%"
"3","Ryan Succop (FA)","4","5","80.0","47","0","1","1","2","0","1","1","1","15.0","15.0","0.0%"
"4","Chris Boswell (PIT)","3","4","75.0","53","0","1","0","1","1","2","2","1","14.0","14.0","33.2%"
"5","Greg Joseph (MIN)","3","3","100.0","56","0","2","0","0","1","2","2","1","13.0","13.0","5.2%"
"6","Riley Patterson (DET)","3","4","75.0","45","0","0","1","2","0","1","1","1","12.0","12.0","42.8%"
"7","Brandon McManus (JAC)","3","4","75.0","40","0","1","1","1","0","1","1","1","11.0","11.0","50.9%"
"8","Jason Sanders (MIA)","2","2","100.0","49","0","0","0","2","0","2","2","1","10.0","10.0","63.5%"
"9","Ka'imi Fairbairn (HOU)","2","2","100.0","45","0","0","0","2","0","2","2","1","10.0","10.0","2.4%"
"10","Wil Lutz (DEN)","2","3","66.7","51","0","0","0","1","1","1","1","1","10.0","10.0","15.3%"
"11","Daniel Carlson (LV)","2","2","100.0","55","0","1","0","0","1","1","1","1","9.0","9.0","37.9%"
"12","Harrison Butker (KC)","1","1","100.0","54","0","0","0","0","1","4","4","1","9.0","9.0","91.8%"
"13","Rodrigo Blankenship (FA)","2","3","66.7","45","0","1","0","1","0","2","2","1","9.0","9.0","0.1%"
"14","Randy Bullock (NYG)","2","3","66.7","46","0","1","0","1","0","2","2","1","9.0","9.0","0.1%"
"15","Jake Elliott (PHI)","1","1","100.0","23","0","1","0","0","0","5","5","1","8.0","8.0","87.2%"
"16","Evan McPherson (CIN)","2","3","66.7","59","0","1","0","0","1","0","1","1","8.0","8.0","77.2%"
"17","Tyler Bass (BUF)","1","1","100.0","41","0","0","0","1","0","4","4","1","8.0","8.0","59.2%"
"18","Dustin Hopkins (CLE)","1","2","50.0","43","0","0","0","1","0","3","3","1","7.0","7.0","59.2%"
"19","Justin Tucker (BAL)","1","1","100.0","24","0","1","0","0","0","3","3","1","6.0","6.0","93.6%"
"20","Eddy Pineiro (CAR)","1","1","100.0","34","0","0","1","0","0","3","3","1","6.0","6.0","5.8%"
"21","Jason Myers (SEA)","1","1","100.0","49","0","0","0","1","0","2","2","1","6.0","6.0","53.9%"
"22","Matt Gay (IND)","1","1","100.0","57","0","0","0","0","1","1","1","1","6.0","6.0","51.6%"
"23","Brett Maher (FA)","1","1","100.0","51","0","0","0","0","1","0","0","1","5.0","5.0","2.8%"
"24","Austin Seibert (FA)","0","0","0","0","0","0","0","0","0","5","5","1","5.0","5.0","0.0%"
"25","Greg Zuerlein (NYJ)","1","2","50.0","45","0","0","0","1","0","0","1","1","4.0","4.0","7.1%"
"26","Robbie Gould (FA)","1","1","100.0","25","0","1","0","0","0","1","1","1","4.0","4.0","0.1%"
"27","Joey Slye (WAS)","0","0","0","0","0","0","0","0","0","2","2","1","2.0","2.0","1.0%"
"28","Matt Prater (ARI)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","8.8%"
"29","Mason Crosby (LAR)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","0.1%"
"30","Nick Folk (TEN)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","33.1%"
"31","Graham Gano (NYG)","0","0","0","0","0","0","0","0","0","1","1","1","1.0","1.0","11.8%"
"32","Cairo Santos (CHI)","0","0","0","0","0","0","0","0","0","1","3","1","1.0","1.0","6.5%"
""
""
