"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tua Tagovailoa (MIA)","29","36","80.6","382","10.6","3","0","2","5","19","0","0","1","29.2","29.2","97.0%"
"2","Jalen Hurts (PHI)","19","28","67.9","285","10.2","4","0","3","2","10","0","0","1","28.4","28.4","100.0%"
"3","Kyler Murray (ARI)","31","44","70.5","326","7.4","3","2","4","6","36","0","0","1","26.6","26.6","73.2%"
"4","Dak Prescott (DAL)","21","27","77.8","250","9.3","2","1","1","5","34","1","0","1","26.4","26.4","97.5%"
"5","Justin Fields (CHI)","17","23","73.9","151","6.6","2","0","4","8","60","1","0","1","26.0","26.0","86.7%"
"6","Marcus Mariota (PHI)","20","28","71.4","253","9.0","3","2","2","6","43","0","0","1","24.4","24.4","0.2%"
"7","Kirk Cousins (MIN)","24","36","66.7","232","6.4","2","0","3","4","22","1","1","1","23.5","23.5","20.8%"
"8","Taylor Heinicke (ATL)","23","31","74.2","279","9.0","1","1","2","6","29","1","0","1","23.1","23.1","3.0%"
"9","Lamar Jackson (BAL)","27","38","71.1","238","6.3","2","0","3","9","43","0","0","1","21.8","21.8","99.1%"
"10","Jacoby Brissett (WAS)","17","22","77.3","278","12.6","1","0","2","6","12","1","1","1","20.3","20.3","0.1%"
"11","Josh Allen (BUF)","13","25","52.0","218","8.7","2","2","2","6","49","0","0","1","19.6","19.6","100.0%"
"12","Zach Wilson (NYJ)","20","41","48.8","355","8.7","2","3","2","1","2","0","0","1","19.4","19.4","3.4%"
"13","Geno Smith (SEA)","23","34","67.6","212","6.2","2","0","3","5","26","0","0","1","19.1","19.1","62.4%"
"14","P.J. Walker (CLE)","19","36","52.8","317","8.8","1","1","1","1","20","0","0","1","17.7","17.7","0.6%"
"15","Jimmy Garoppolo (LV)","21","25","84.0","235","9.4","2","0","3","1","3","0","0","1","17.7","17.7","2.8%"
"16","Jared Goff (DET)","27","37","73.0","321","8.7","1","0","1","1","3","0","0","1","17.6","17.6","82.5%"
"17","Matthew Stafford (LAR)","22","33","66.7","187","5.7","1","0","2","2","-1","1","0","1","17.4","17.4","44.5%"
"18","Andy Dalton (CAR)","22","30","73.3","229","7.6","2","0","0","0","0","0","0","1","17.2","17.2","0.1%"
"19","Tom Brady (FA)","26","44","59.1","325","7.4","1","0","3","1","1","0","0","1","17.1","17.1","0.8%"
"20","Aaron Rodgers (NYJ)","19","30","63.3","203","6.8","2","1","2","1","11","0","0","1","16.2","16.2","19.8%"
"21","Russell Wilson (DEN)","18","30","60.0","252","8.4","1","1","3","4","17","0","0","1","14.8","14.8","69.9%"
"22","Joe Burrow (CIN)","25","35","71.4","232","6.6","2","1","5","1","2","0","1","1","14.5","14.5","39.5%"
"23","Mac Jones (NE)","24","35","68.6","194","5.5","1","1","6","7","19","0","0","1","12.7","12.7","3.8%"
"24","Davis Mills (HOU)","17","29","58.6","152","5.2","1","1","3","3","8","0","0","1","9.9","9.9","0.0%"
"25","Daniel Jones (NYG)","17","31","54.8","176","5.7","0","0","5","6","20","0","0","1","9.0","9.0","19.3%"
"26","Trevor Lawrence (JAC)","18","31","58.1","133","4.3","1","2","2","3","15","0","0","1","8.8","8.8","91.2%"
"27","Kenny Pickett (PIT)","25","38","65.8","191","5.0","0","1","6","7","37","0","1","1","8.3","8.3","17.1%"
"28","Sam Ehlinger (IND)","17","23","73.9","201","8.7","0","0","2","6","15","0","1","1","7.5","7.5","0.0%"
"29","Jarrett Stidham (DEN)","8","13","61.5","72","5.5","0","0","1","0","0","0","0","1","2.9","2.9","0.1%"
"30","Derek Carr (NO)","15","26","57.7","101","3.9","0","1","3","1","-1","0","0","1","2.9","2.9","34.8%"
"31","Malik Willis (TEN)","6","10","60.0","55","5.5","0","1","3","5","12","0","0","1","2.4","2.4","0.1%"
"32","Gardner Minshew II (IND)","1","2","50.0","23","11.5","0","0","0","1","-1","0","0","1","0.8","0.8","19.2%"
"33","Trevor Siemian (NYJ)","1","1","100.0","5","5.0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"34","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"35","Logan Woodside (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
""
""
