"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Miles Sanders (CAR)","17","144","8.5","40","4","2","1","3","11","11.0","0","0","1","27.5","27.5","51.0%"
"2","Christian McCaffrey (SF)","14","119","8.5","38","3","1","2","3","34","17.0","1","0","1","27.3","27.3","100.0%"
"3","Jerick McKinnon (KC)","6","22","3.7","7","0","0","7","9","112","16.0","2","0","1","25.4","25.4","23.3%"
"4","Tony Pollard (DAL)","10","42","4.2","18","0","1","4","5","20","5.0","1","0","1","18.2","18.2","99.8%"
"5","J.K. Dobbins (BAL)","15","120","8.0","44","3","1","0","0","0","0","0","0","1","18.0","18.0","16.3%"
"6","Derrick Henry (TEN)","17","121","7.1","50","5","1","3","5","34","11.3","0","2","1","17.5","17.5","99.8%"
"7","Josh Jacobs (LV)","27","99","3.7","15","0","1","2","2","15","7.5","0","0","1","17.4","17.4","99.6%"
"8","James Conner (ARI)","15","85","5.7","23","1","1","6","7","29","4.8","0","0","1","17.4","17.4","90.2%"
"9","Austin Ekeler (LAC)","15","45","3.0","12","0","1","8","8","59","7.4","0","0","1","16.4","16.4","100.0%"
"10","Chuba Hubbard (CAR)","14","74","5.3","12","0","1","3","3","25","8.3","0","0","1","15.9","15.9","69.8%"
"11","Pierre Strong Jr. (CLE)","5","70","14.0","44","3","1","2","2","20","10.0","0","0","1","15.0","15.0","0.8%"
"12","Ezekiel Elliott (NE)","15","62","4.1","25","1","1","3","5","19","6.3","0","0","1","14.1","14.1","56.3%"
"13","Zonovan Knight (DET)","17","71","4.2","13","0","1","2","2","6","3.0","0","0","1","13.7","13.7","0.3%"
"14","Marlon Mack (ARI)","3","15","5.0","6","0","0","2","3","62","31.0","1","0","1","13.7","13.7","0.0%"
"15","Dameon Pierce (HOU)","22","78","3.5","24","1","1","0","0","0","0","0","1","1","11.8","11.8","68.0%"
"16","Najee Harris (PIT)","12","33","2.8","8","0","1","2","3","17","8.5","0","0","1","11.0","11.0","93.6%"
"17","Raheem Blackshear (CAR)","4","32","8.0","16","0","1","1","1","17","17.0","0","0","1","10.9","10.9","0.4%"
"18","Joe Mixon (CIN)","14","96","6.9","40","3","0","2","2","10","5.0","0","0","1","10.6","10.6","98.6%"
"19","Boston Scott (PHI)","6","33","5.5","11","0","1","1","1","4","4.0","0","0","1","9.7","9.7","0.2%"
"20","Isiah Pacheco (KC)","13","70","5.4","10","0","0","3","3","23","7.7","0","0","1","9.3","9.3","96.5%"
"21","Justin Jackson (FA)","4","19","4.8","15","0","1","1","1","12","12.0","0","0","1","9.1","9.1","0.0%"
"22","Kevin Harris (NE)","8","26","3.3","14","0","1","0","0","0","0","0","0","1","8.6","8.6","0.1%"
"23","Samaje Perine (DEN)","4","22","5.5","14","0","1","1","5","2","2.0","0","0","1","8.4","8.4","32.8%"
"24","Cam Akers (MIN)","12","42","3.5","9","0","1","1","1","1","1.0","0","1","1","8.3","8.3","20.9%"
"25","Dalvin Cook (NYJ)","15","23","1.5","5","0","1","1","2","13","13.0","0","1","1","7.6","7.6","23.9%"
"26","D'Onta Foreman (CHI)","21","74","3.5","11","0","0","1","1","1","1.0","0","0","1","7.5","7.5","32.8%"
"27","Gus Edwards (BAL)","13","66","5.1","16","0","0","0","0","0","0","0","0","1","6.6","6.6","82.0%"
"28","Rachaad White (TB)","13","56","4.3","9","0","0","5","5","21","4.2","0","1","1","5.7","5.7","95.8%"
"29","Jordan Mason (SF)","11","56","5.1","18","0","0","0","0","0","0","0","0","1","5.6","5.6","0.9%"
"30","Nick Chubb (CLE)","14","34","2.4","13","0","0","3","3","20","6.7","0","0","1","5.4","5.4","22.3%"
"31","Saquon Barkley (NYG)","9","28","3.1","9","0","0","2","2","20","10.0","0","0","1","4.8","4.8","99.9%"
"32","Leonard Fournette (BUF)","4","13","3.3","8","0","0","6","7","33","5.5","0","0","1","4.6","4.6","4.5%"
"33","Raheem Mostert (MIA)","11","37","3.4","13","0","0","1","1","7","7.0","0","0","1","4.4","4.4","97.7%"
"34","Devin Singletary (HOU)","8","39","4.9","16","0","0","1","2","4","4.0","0","0","1","4.3","4.3","75.5%"
"35","Gary Brightwell (NYG)","5","23","4.6","13","0","0","2","3","18","9.0","0","0","1","4.1","4.1","0.3%"
"36","D'Andre Swift (PHI)","6","21","3.5","9","0","0","3","4","18","6.0","0","0","1","3.9","3.9","96.9%"
"37","Jamaal Williams (NO)","16","37","2.3","8","0","0","0","1","0","0","0","0","1","3.7","3.7","17.8%"
"38","Joshua Kelley (LAC)","4","29","7.3","22","1","0","1","2","6","6.0","0","0","1","3.5","3.5","11.4%"
"39","Travis Homer (CHI)","9","26","2.9","16","0","0","2","3","8","4.0","0","0","1","3.4","3.4","0.1%"
"40","Travis Etienne Jr. (JAC)","17","32","1.9","7","0","0","0","0","0","0","0","0","1","3.2","3.2","99.9%"
"41","Latavius Murray (BUF)","8","32","4.0","8","0","0","3","5","-1","-0.3","0","0","1","3.1","3.1","15.7%"
"42","Kyren Williams (LAR)","3","19","6.3","9","0","0","1","2","10","10.0","0","0","1","2.9","2.9","94.4%"
"43","Mike Boone (HOU)","3","2","0.7","1","0","0","2","2","27","13.5","0","0","1","2.9","2.9","0.6%"
"44","Jaylen Warren (PIT)","3","11","3.7","8","0","0","2","3","16","8.0","0","0","1","2.7","2.7","83.5%"
"45","Jeff Wilson Jr. (MIA)","4","26","6.5","20","1","0","0","0","0","0","0","0","1","2.6","2.6","15.8%"
"46","Corey Clement (ARI)","0","0","0","0","0","0","1","1","21","21.0","0","0","1","2.1","2.1","0.1%"
"47","Ameer Abdullah (LV)","0","0","0","0","0","0","2","2","17","8.5","0","0","1","1.7","1.7","0.5%"
"48","Malcolm Brown (FA)","1","5","5.0","5","0","0","2","2","12","6.0","0","0","1","1.7","1.7","0.0%"
"49","Matt Breida (NYG)","3","6","2.0","5","0","0","2","4","9","4.5","0","0","1","1.5","1.5","2.6%"
"50","James Cook (BUF)","4","6","1.5","4","0","0","1","1","9","9.0","0","0","1","1.5","1.5","94.3%"
"51","JaMycal Hasty (NE)","4","13","3.3","10","0","0","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"52","Kareem Hunt (CLE)","4","6","1.5","4","0","0","2","4","6","3.0","0","0","1","1.2","1.2","55.5%"
"53","Rhamondre Stevenson (NE)","3","8","2.7","4","0","0","2","3","2","1.0","0","0","1","1.0","1.0","92.9%"
"54","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","9","9.0","0","0","1","0.9","0.9","0.1%"
"55","Zamir White (LV)","3","9","3.0","8","0","0","0","0","0","0","0","0","1","0.9","0.9","1.3%"
"56","Trayveon Williams (CIN)","1","2","2.0","2","0","0","1","1","6","6.0","0","0","1","0.8","0.8","0.7%"
"57","Julius Chestnut (TEN)","0","0","0","0","0","0","2","2","8","4.0","0","0","1","0.8","0.8","0.1%"
"58","Kyle Juszczyk (SF)","0","0","0","0","0","0","2","2","7","3.5","0","0","1","0.7","0.7","0.3%"
"59","Nyheim Hines (BUF)","1","3","3.0","3","0","0","1","1","4","4.0","0","0","1","0.7","0.7","0.1%"
"60","Benny Snell Jr. (FA)","2","4","2.0","3","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"61","Patrick Ricard (BAL)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"62","Kenyan Drake (GB)","1","1","1.0","1","0","0","2","2","1","0.5","0","0","1","0.2","0.2","0.1%"
"63","Rex Burkhead (FA)","2","-3","-1.5","0","0","0","1","1","5","5.0","0","0","1","0.2","0.2","10.0%"
"64","Tony Jones Jr. (ARI)","1","2","2.0","2","0","0","1","2","0","0.0","0","0","1","0.2","0.2","0.3%"
"65","Jakob Johnson (LV)","0","0","0","0","0","0","1","1","1","1.0","0","0","1","0.1","0.1","0.0%"
"66","Dare Ogunbowale (HOU)","1","-3","-3.0","0","0","0","2","2","4","2.0","0","0","1","0.1","0.1","0.1%"
"67","Salvon Ahmed (MIA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","1.1%"
"68","Eno Benjamin (NO)","3","1","0.3","4","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"69","Keaontay Ingram (KC)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","2.0%"
"70","Chris Myarick (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","12.4%"
"72","Alec Ingold (MIA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.1%"
"73","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
