"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Taysom Hill (NO)","0","0","0","0","0","0","0","9","112","3","0","1","34.1","34.1","77.0%"
"2","Travis Kelce (KC)","7","8","25","3.6","8","0","4","0","0","0","0","1","26.5","26.5","100.0%"
"3","Mark Andrews (BAL)","8","10","89","11.1","20","1","1","0","0","0","0","1","14.9","14.9","57.4%"
"4","Hayden Hurst (CAR)","6","7","53","8.8","19","0","1","0","0","0","0","1","11.3","11.3","3.3%"
"5","Dallas Goedert (PHI)","8","9","95","11.9","31","2","0","0","0","0","0","1","9.5","9.5","82.7%"
"6","Adam Trautman (DEN)","2","3","32","16.0","22","1","1","0","0","0","0","1","9.2","9.2","0.4%"
"7","David Njoku (CLE)","6","6","88","14.7","38","2","0","0","0","0","0","1","8.8","8.8","90.8%"
"8","Daniel Bellinger (NYG)","2","3","22","11.0","11","0","0","1","2","1","0","1","8.4","8.4","0.8%"
"9","Durham Smythe (MIA)","1","1","8","8.0","8","0","0","1","1","1","0","1","6.9","6.9","0.5%"
"10","Evan Engram (JAC)","6","10","69","11.5","28","2","0","0","0","0","0","1","6.9","6.9","94.9%"
"11","Marcedes Lewis (CHI)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.0%"
"12","Hunter Henry (NE)","4","5","54","13.5","23","1","0","0","0","0","0","1","5.4","5.4","20.1%"
"13","Noah Fant (SEA)","3","5","49","16.3","32","2","0","0","0","0","0","1","4.9","4.9","1.8%"
"14","Zach Ertz (FA)","6","10","48","8.0","11","0","0","0","0","0","0","1","4.8","4.8","14.2%"
"15","Tyler Higbee (LAR)","7","10","46","6.6","10","0","0","0","0","0","0","1","4.6","4.6","44.3%"
"16","Cole Kmet (CHI)","4","4","45","11.3","23","1","0","0","0","0","0","1","4.5","4.5","82.2%"
"17","Cade Otton (TB)","6","7","43","7.2","12","0","0","0","0","0","0","1","4.3","4.3","34.1%"
"18","Zach Gentry (CIN)","5","6","43","8.6","11","0","0","0","0","0","0","1","4.3","4.3","0.0%"
"19","Irv Smith Jr. (CIN)","4","5","42","10.5","15","0","0","0","0","0","0","1","4.2","4.2","3.4%"
"20","John Bates (WAS)","3","3","39","13.0","20","1","0","0","0","0","0","1","3.9","3.9","0.1%"
"21","Eric Saubert (HOU)","5","7","36","7.2","10","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"22","Mike Gesicki (NE)","1","2","30","30.0","30","2","0","0","0","0","0","1","3.0","3.0","3.3%"
"23","Giovanni Ricci (CAR)","3","3","27","9.0","12","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"24","George Kittle (SF)","5","6","47","9.4","20","1","0","0","0","0","1","1","2.7","2.7","99.7%"
"25","Robert Tonyan (CHI)","4","4","23","5.8","14","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"26","Jordan Akins (CLE)","2","2","22","11.0","11","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"27","Will Dissly (SEA)","2","3","21","10.5","15","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"28","Dan Arnold (FA)","1","2","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","0.0%"
"29","Jesper Horsted (LV)","3","3","19","6.3","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"30","Quintin Morris (BUF)","3","5","39","13.0","26","1","0","0","0","0","1","1","1.9","1.9","0.0%"
"31","Josiah Deguara (GB)","2","2","19","9.5","12","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"32","Kylen Granson (IND)","1","3","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.8%"
"33","Chris Manhertz (DEN)","2","2","15","7.5","12","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"34","Juwan Johnson (NO)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","20.9%"
"35","C.J. Uzomah (NYJ)","2","2","12","6.0","9","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"36","Pat Freiermuth (PIT)","2","2","12","6.0","8","0","0","0","0","0","0","1","1.2","1.2","72.6%"
"37","Connor Heyward (PIT)","2","2","12","6.0","7","0","0","0","0","0","0","1","1.2","1.2","0.5%"
"38","Anthony Firkser (DET)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"39","Parker Hesse (ATL)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"40","Ian Thomas (CAR)","2","2","8","4.0","6","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"41","Isaiah Likely (BAL)","2","2","7","3.5","5","0","0","0","0","0","0","1","0.7","0.7","38.8%"
"42","Austin Hooper (LV)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.3%"
"43","Mo Alie-Cox (IND)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"44","Noah Gray (KC)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.1%"
"45","Johnny Mundt (MIN)","2","2","6","3.0","4","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"46","Mason Schreck (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"47","T.J. Hockenson (MIN)","1","4","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","99.2%"
"48","Albert Okwuegbunam (PHI)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.1%"
"49","Geoff Swaim (ARI)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"50","Chris Myarick (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"51","Gerald Everett (LAC)","1","3","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","34.0%"
"52","Ryan Griffin (FA)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"53","Feleipe Franks (ATL)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"54","Andrew Beck (HOU)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"55","Donald Parham Jr. (LAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.8%"
"56","Josh Oliver (MIN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"57","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"58","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Matthew Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Harrison Bryant (CLE)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"61","Tanner Conner (MIA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"63","Ko Kieft (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Tommy Tremble (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"65","Tre' McKitty (BUF)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Peyton Hendershot (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"67","Kevin Rader (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Chigoziem Okonkwo (TEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","30.6%"
"69","Jelani Woods (IND)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"70","Cole Turner (WAS)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Kyle Rudolph (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"72","O.J. Howard (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"73","Dalton Schultz (HOU)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","80.4%"
"74","Tyler Conklin (NYJ)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","20.0%"
"75","Eric Tomlinson (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Tyler Davis (GB)","1","2","-3","-3.0","0","0","0","0","0","0","0","1","-0.3","-0.3","0.0%"
""
""
