"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cole Kmet (CHI)","5","6","41","8.2","18","0","2","2","9","0","0","1","17.0","17.0","82.2%"
"2","Dallas Goedert (PHI)","8","9","100","12.5","21","1","1","0","0","0","0","1","16.0","16.0","82.7%"
"3","Cade Otton (TB)","5","6","68","13.6","28","1","1","0","0","0","0","1","12.8","12.8","34.1%"
"4","Travis Kelce (KC)","10","17","106","10.6","23","1","0","0","0","0","0","1","10.6","10.6","100.0%"
"5","Juwan Johnson (NO)","2","2","42","21.0","41","3","1","0","0","0","0","1","10.2","10.2","20.9%"
"6","Zach Ertz (FA)","5","8","40","8.0","14","0","1","0","0","0","0","1","10.0","10.0","14.2%"
"7","Noah Fant (SEA)","5","6","96","19.2","51","4","0","0","0","0","0","1","9.6","9.6","1.8%"
"8","Isaiah Likely (BAL)","1","5","24","24.0","24","1","1","0","0","0","0","1","8.4","8.4","38.8%"
"9","T.J. Hockenson (MIN)","9","9","70","7.8","19","0","0","0","0","0","0","1","7.0","7.0","99.2%"
"10","James Mitchell (DET)","2","2","8","4.0","5","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"11","Teagan Quitoriano (HOU)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","0.0%"
"12","Shane Zylstra (DET)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.0%"
"13","Tommy Tremble (CAR)","2","4","11","5.5","8","0","1","0","0","0","1","1","5.1","5.1","0.1%"
"14","Hunter Henry (NE)","4","4","50","12.5","30","2","0","0","0","0","0","1","5.0","5.0","20.1%"
"15","Chigoziem Okonkwo (TEN)","1","3","48","48.0","48","3","0","0","0","0","0","1","4.8","4.8","30.6%"
"16","Noah Gray (KC)","3","3","45","15.0","27","1","0","0","0","0","0","1","4.5","4.5","1.1%"
"17","Josiah Deguara (GB)","5","5","41","8.2","25","1","0","0","0","0","0","1","4.1","4.1","0.1%"
"18","Gerald Everett (LAC)","5","8","36","7.2","16","0","0","1","0","0","0","1","3.6","3.6","34.0%"
"19","Hayden Hurst (CAR)","5","5","35","7.0","13","0","0","0","0","0","0","1","3.5","3.5","3.3%"
"20","Austin Hooper (LV)","2","3","34","17.0","18","0","0","0","0","0","0","1","3.4","3.4","0.3%"
"21","Robert Tonyan (CHI)","3","4","29","9.7","17","0","0","0","0","0","0","1","2.9","2.9","0.1%"
"22","Kyle Pitts (ATL)","2","7","27","13.5","18","0","0","0","0","0","0","1","2.7","2.7","81.5%"
"23","Dawson Knox (BUF)","3","4","25","8.3","17","0","0","0","0","0","0","1","2.5","2.5","5.4%"
"24","Foster Moreau (NO)","2","5","42","21.0","30","2","0","0","2","0","1","1","2.4","2.4","0.1%"
"25","Armani Rogers (WAS)","0","0","0","0","0","0","0","1","24","0","0","1","2.4","2.4","0.0%"
"26","Will Dissly (SEA)","3","4","24","8.0","13","0","0","0","0","0","0","1","2.4","2.4","0.1%"
"27","Jonnu Smith (ATL)","3","3","21","7.0","24","1","0","0","0","0","0","1","2.1","2.1","18.3%"
"28","Trevon Wesco (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"29","Marcedes Lewis (CHI)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"30","Dan Arnold (FA)","1","1","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"31","Josh Oliver (MIN)","1","3","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","0.2%"
"32","C.J. Uzomah (NYJ)","3","3","16","5.3","6","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"33","Luke Farrell (JAC)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"34","O.J. Howard (FA)","1","2","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"35","Mo Alie-Cox (IND)","2","2","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"36","Jack Stoll (PHI)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.2%"
