"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","8","9","121","15.1","35","3","1","0","0","0","0","1","18.1","18.1","100.0%"
"2","O.J. Howard (FA)","2","2","38","19.0","22","1","2","0","0","0","0","1","15.8","15.8","0.0%"
"3","Taysom Hill (NO)","1","1","2","2.0","2","0","0","4","81","1","0","1","14.3","14.3","77.0%"
"4","Gerald Everett (LAC)","3","4","54","18.0","25","1","1","0","0","0","0","1","11.4","11.4","34.0%"
"5","Colby Parkinson (SEA)","2","2","43","21.5","25","1","1","0","0","0","0","1","10.3","10.3","0.1%"
"6","Will Dissly (SEA)","3","3","43","14.3","38","2","1","0","0","0","0","1","10.3","10.3","0.1%"
"7","Zach Ertz (FA)","2","4","14","7.0","8","0","1","0","0","0","0","1","9.4","9.4","14.2%"
"8","Darren Waller (NYG)","4","6","79","19.8","31","3","0","0","0","0","0","1","7.9","7.9","62.7%"
"9","Tyler Conklin (NYJ)","4","7","16","4.0","6","0","1","0","0","0","0","1","7.6","7.6","20.0%"
"10","Pat Freiermuth (PIT)","5","10","75","15.0","31","3","0","0","0","0","0","1","7.5","7.5","72.6%"
"11","Dalton Schultz (HOU)","7","9","62","8.9","14","0","0","0","0","0","0","1","6.2","6.2","80.4%"
"12","Chris Myarick (FA)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.0%"
"13","Jody Fortson (KC)","1","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.0%"
"14","Dallas Goedert (PHI)","3","4","60","20.0","27","2","0","0","0","0","0","1","6.0","6.0","82.7%"
"15","Ian Thomas (CAR)","2","3","53","26.5","50","4","0","0","0","0","0","1","5.3","5.3","0.0%"
"16","Mark Andrews (BAL)","5","7","52","10.4","17","0","0","0","0","0","0","1","5.2","5.2","57.4%"
"17","Andrew Beck (HOU)","2","3","52","26.0","27","2","0","0","0","0","0","1","5.2","5.2","0.0%"
"18","Hayden Hurst (CAR)","5","8","46","9.2","20","1","0","0","0","0","0","1","4.6","4.6","3.3%"
"19","Logan Thomas (WAS)","3","6","45","15.0","27","1","0","0","0","0","0","1","4.5","4.5","53.5%"
"20","Juwan Johnson (NO)","2","5","43","21.5","26","1","0","0","0","0","0","1","4.3","4.3","20.9%"
"21","Zach Gentry (CIN)","2","2","40","20.0","32","2","0","0","0","0","0","1","4.0","4.0","0.0%"
"22","Tyler Higbee (LAR)","5","11","39","7.8","11","0","0","0","0","0","0","1","3.9","3.9","44.3%"
"23","T.J. Hockenson (MIN)","4","7","38","9.5","16","0","0","0","0","0","0","1","3.8","3.8","99.2%"
"24","Robert Tonyan (CHI)","3","5","36","12.0","23","1","0","0","0","0","0","1","3.6","3.6","0.1%"
"25","Jonnu Smith (ATL)","3","4","33","11.0","15","0","0","0","0","0","0","1","3.3","3.3","18.3%"
"26","Albert Okwuegbunam (PHI)","5","6","33","6.6","12","0","0","0","0","0","0","1","3.3","3.3","0.1%"
"27","Josiah Deguara (GB)","2","2","28","14.0","15","0","0","0","0","0","0","1","2.8","2.8","0.1%"
"28","Evan Engram (JAC)","4","4","28","7.0","11","0","0","0","0","0","0","1","2.8","2.8","94.9%"
"29","Mo Alie-Cox (IND)","2","2","26","13.0","13","0","0","0","0","0","0","1","2.6","2.6","0.1%"
"30","Tre' McKitty (BUF)","3","4","24","8.0","12","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"31","Armani Rogers (WAS)","1","1","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","0.0%"
"32","Kylen Granson (IND)","3","7","22","7.3","12","0","0","0","0","0","0","1","2.2","2.2","0.8%"
"33","Hunter Henry (NE)","2","3","20","10.0","11","0","0","0","0","0","0","1","2.0","2.0","20.1%"
"34","Geoff Swaim (ARI)","3","4","19","6.3","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"35","Kyle Pitts (ATL)","2","7","19","9.5","11","0","0","0","0","0","0","1","1.9","1.9","81.5%"
"36","Harrison Bryant (CLE)","2","4","18","9.0","10","0","0","0","0","0","0","1","1.8","1.8","0.7%"
"37","Johnny Mundt (MIN)","3","3","17","5.7","12","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"38","Pharaoh Brown (NE)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"39","Noah Fant (SEA)","3","4","16","5.3","13","0","0","0","0","0","0","1","1.6","1.6","1.8%"
"40","Durham Smythe (MIA)","1","2","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","0.5%"
"41","Ross Dwelley (SF)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"42","Noah Gray (KC)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","1.1%"
"43","Tyler Kroft (MIA)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"44","David Njoku (CLE)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","90.8%"
"45","Cameron Brate (FA)","1","3","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","2.0%"
"46","Chigoziem Okonkwo (TEN)","1","1","11","11.0","11","0","0","1","-4","0","0","1","0.7","0.7","30.6%"
"47","Anthony Firkser (DET)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"48","Austin Hooper (LV)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.3%"
"49","Parker Hesse (ATL)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"50","Dawson Knox (BUF)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","5.4%"
"51","Brevin Jordan (HOU)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","7.6%"
"52","Tyler Davis (GB)","1","1","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"53","Ben Ellefson (FA)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"54","Drew Sample (CIN)","1","1","2","2.0","2","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"55","Mike Gesicki (NE)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","3.3%"
"56","Tommy Tremble (CAR)","1","1","1","1.0","1","0","0","0","0","0","0","1","0.1","0.1","0.1%"
