"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","8","11","130","16.3","41","5","2","0","0","0","0","1","25.0","25.0","100.0%"
"2","Mecole Hardman Jr. (KC)","4","4","32","8.0","18","0","1","2","28","2","0","1","24.0","24.0","1.7%"
"3","Tyler Boyd (CIN)","8","9","155","19.4","60","6","1","0","0","0","0","1","21.5","21.5","49.6%"
"4","Marquise Goodwin (CLE)","4","5","67","16.8","23","3","2","0","0","0","0","1","18.7","18.7","0.1%"
"5","JuJu Smith-Schuster (NE)","7","8","124","17.7","45","4","1","0","0","0","0","1","18.4","18.4","19.1%"
"6","Mike Williams (LAC)","7","9","86","12.3","21","1","1","0","0","0","0","1","14.6","14.6","18.8%"
"7","Damiere Byrd (FA)","1","1","75","75.0","75","4","1","0","0","0","0","1","13.5","13.5","0.0%"
"8","Terry McLaurin (WAS)","5","8","73","14.6","37","2","1","0","0","0","0","1","13.3","13.3","90.8%"
"9","Parris Campbell (NYG)","10","12","70","7.0","11","0","1","0","0","0","0","1","13.0","13.0","2.5%"
"10","DJ Moore (CHI)","7","10","69","9.9","21","2","1","1","-3","0","0","1","12.6","12.6","96.6%"
"11","Ray-Ray McCloud III (SF)","4","4","65","16.3","22","2","1","0","0","0","0","1","12.5","12.5","1.1%"
"12","George Pickens (PIT)","6","6","61","10.2","30","2","1","0","0","0","0","1","12.1","12.1","81.7%"
"13","Darius Slayton (NYG)","3","6","58","19.3","32","2","1","0","0","0","0","1","11.8","11.8","2.2%"
"14","Rashid Shaheed (NO)","1","1","53","53.0","53","4","1","0","0","0","0","1","11.3","11.3","32.0%"
"15","Marquez Valdes-Scantling (KC)","3","4","111","37.0","57","7","0","0","0","0","0","1","11.1","11.1","3.8%"
"16","Chris Olave (NO)","7","14","106","15.1","41","3","0","0","0","0","0","1","10.6","10.6","98.4%"
"17","Phillip Dorsett II (DEN)","2","3","45","22.5","25","2","1","0","0","0","0","1","10.5","10.5","0.0%"
"18","Mack Hollins (ATL)","2","3","44","22.0","26","1","1","0","0","0","0","1","10.4","10.4","0.4%"
"19","DeAndre Hopkins (TEN)","10","14","103","10.3","18","0","0","0","0","0","0","1","10.3","10.3","94.9%"
"20","Christian Kirk (JAC)","7","10","96","13.7","34","2","0","1","5","0","0","1","10.1","10.1","86.5%"
"21","Jerry Jeudy (DEN)","7","11","96","13.7","45","3","0","0","0","0","0","1","9.6","9.6","63.9%"
"22","Mike Evans (TB)","9","15","96","10.7","20","1","0","0","0","0","0","1","9.6","9.6","97.3%"
"23","Davante Adams (LV)","8","9","95","11.9","16","0","0","0","0","0","0","1","9.5","9.5","99.9%"
"24","Kalif Raymond (DET)","5","6","75","15.0","20","1","0","2","20","0","0","1","9.5","9.5","1.9%"
"25","Jakobi Meyers (LV)","2","2","34","17.0","30","2","1","0","0","0","0","1","9.4","9.4","79.1%"
"26","Tee Higgins (CIN)","5","7","93","18.6","25","3","0","0","0","0","0","1","9.3","9.3","89.4%"
"27","Jaylen Waddle (MIA)","4","5","88","22.0","25","3","0","0","0","0","0","1","8.8","8.8","99.4%"
"28","Brandon Aiyuk (SF)","7","11","82","11.7","21","1","0","0","0","0","0","1","8.2","8.2","97.6%"
"29","Chris Moore (TEN)","2","4","20","10.0","13","0","1","0","0","0","0","1","8.0","8.0","0.1%"
"30","Curtis Samuel (WAS)","5","8","53","10.6","26","1","0","5","26","0","0","1","7.9","7.9","39.8%"
"31","Amari Cooper (CLE)","3","4","74","24.7","55","4","0","0","0","0","0","1","7.4","7.4","92.9%"
"32","Tyreek Hill (MIA)","7","13","72","10.3","21","1","0","0","0","0","0","1","7.2","7.2","100.0%"
"33","DeVante Parker (NE)","3","5","68","22.7","43","3","0","0","0","0","0","1","6.8","6.8","2.8%"
"34","Zay Jones (JAC)","4","10","54","13.5","20","1","0","1","14","0","0","1","6.8","6.8","23.7%"
"35","Greg Dortch (ARI)","1","1","5","5.0","5","0","1","1","1","0","0","1","6.6","6.6","7.1%"
"36","CeeDee Lamb (DAL)","4","6","70","17.5","24","2","0","1","-4","0","0","1","6.6","6.6","100.0%"
