"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","9","11","184","20.4","64","9","2","0","0","0","0","1","30.4","30.4","99.9%"
"2","Davante Adams (LV)","10","17","141","14.1","41","5","1","0","0","0","0","1","20.1","20.1","99.9%"
"3","Ja'Marr Chase (CIN)","10","16","129","12.9","24","2","1","0","0","0","0","1","18.9","18.9","100.0%"
"4","Cooper Kupp (LAR)","13","15","128","9.8","28","3","1","0","0","0","0","1","18.8","18.8","99.0%"
"5","Stefon Diggs (BUF)","8","9","122","15.3","53","5","1","0","0","0","0","1","18.2","18.2","100.0%"
"6","Michael Pittman Jr. (IND)","9","13","121","13.4","28","2","1","0","0","0","0","1","18.1","18.1","96.1%"
"7","Michael Thomas (NO)","5","8","57","11.4","21","2","2","0","0","0","0","1","17.7","17.7","40.8%"
"8","Devin Duvernay (BAL)","4","4","54","13.5","25","1","2","0","0","0","0","1","17.4","17.4","0.1%"
"9","Robbie Chosen (MIA)","5","8","102","20.4","75","4","1","0","0","0","0","1","16.2","16.2","0.1%"
"10","Jerry Jeudy (DEN)","4","7","102","25.5","67","4","1","0","0","0","0","1","16.2","16.2","63.9%"
"11","A.J. Brown (PHI)","10","13","155","15.5","54","4","0","0","0","0","0","1","15.5","15.5","100.0%"
"12","Jahan Dotson (WAS)","3","5","40","13.3","24","1","2","1","-10","0","0","1","15.0","15.0","60.7%"
"13","Gabe Davis (BUF)","4","5","88","22.0","47","4","1","0","0","0","0","1","14.8","14.8","81.3%"
"14","Jaylen Waddle (MIA)","4","5","69","17.3","42","3","1","1","8","0","0","1","13.7","13.7","99.4%"
"15","Mike Evans (TB)","5","7","71","14.2","20","1","1","0","0","0","0","1","13.1","13.1","97.3%"
"16","Sterling Shepard (NYG)","2","4","71","35.5","65","4","1","0","0","0","0","1","13.1","13.1","0.2%"
"17","Amon-Ra St. Brown (DET)","8","12","64","8.0","29","1","1","0","0","0","0","1","12.4","12.4","100.0%"
"18","DeAndre Carter (LV)","3","4","64","21.3","30","3","1","0","0","0","0","1","12.4","12.4","0.1%"
"19","Rashod Bateman (BAL)","2","5","59","29.5","55","4","1","0","0","0","0","1","11.9","11.9","9.9%"
"20","Terry McLaurin (WAS)","2","4","58","29.0","49","3","1","0","0","0","0","1","11.8","11.8","90.8%"
"21","Christian Kirk (JAC)","6","12","117","19.5","49","4","0","0","0","0","0","1","11.7","11.7","86.5%"
"22","Jarvis Landry (FA)","7","9","114","16.3","40","5","0","0","0","0","0","1","11.4","11.4","14.0%"
"23","DJ Chark Jr. (CAR)","4","8","52","13.0","22","1","1","0","0","0","0","1","11.2","11.2","17.1%"
"24","Curtis Samuel (WAS)","8","11","55","6.9","13","0","1","4","17","0","1","1","11.2","11.2","39.8%"
"25","Dante Pettis (FA)","1","1","51","51.0","51","4","1","0","0","0","0","1","11.1","11.1","0.0%"
"26","Deebo Samuel (SF)","2","7","14","7.0","8","0","0","8","52","1","1","1","10.6","10.6","98.6%"
"27","Marquise Brown (ARI)","4","6","43","10.8","26","1","1","0","0","0","0","1","10.3","10.3","85.6%"
"28","Tyreek Hill (MIA)","8","12","94","11.8","26","2","0","1","6","0","0","1","10.0","10.0","100.0%"
"29","Tyler Boyd (CIN)","4","7","33","8.3","22","1","1","0","0","0","0","1","9.3","9.3","49.6%"
"30","Julio Jones (PHI)","3","5","69","23.0","48","3","0","2","17","0","0","1","8.6","8.6","1.5%"
"31","Brandin Cooks (DAL)","7","12","82","11.7","42","3","0","0","0","0","0","1","8.2","8.2","70.5%"
