"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","107","153","1,361","12.7","43","27","9","1","0","0","0","17","194.1","11.4","57.4%"
"2","Travis Kelce (KC)","92","134","1,125","12.2","69","20","9","2","3","1","1","16","170.8","10.7","100.0%"
"3","Dalton Schultz (HOU)","78","104","808","10.4","32","8","8","0","0","0","0","17","130.8","7.7","80.4%"
"4","George Kittle (SF)","71","94","910","12.8","48","17","6","3","20","0","1","14","127.0","9.1","99.7%"
"5","Rob Gronkowski (FA)","55","88","802","14.6","42","20","6","0","0","0","0","12","116.2","9.7","1.1%"
"6","Dawson Knox (BUF)","49","71","587","12.0","53","14","9","0","4","0","0","15","115.1","7.7","5.4%"
"7","Hunter Henry (NE)","50","75","603","12.1","35","12","9","0","0","0","0","16","114.3","7.1","20.1%"
"8","Dallas Goedert (PHI)","56","76","830","14.8","45","18","4","0","0","0","0","15","109.0","7.3","82.7%"
"9","Kyle Pitts (ATL)","68","110","1,026","15.1","61","25","1","0","0","0","0","17","108.6","6.4","81.5%"
"10","Zach Ertz (FA)","74","112","763","10.3","47","9","5","1","4","0","0","17","106.7","6.3","14.2%"
"11","Mike Gesicki (NE)","73","112","780","10.7","40","15","2","0","0","0","0","17","92.0","5.4","3.3%"
"12","Pat Freiermuth (PIT)","60","79","497","8.3","24","2","7","0","0","0","1","16","91.7","5.7","72.6%"
"13","Noah Fant (SEA)","68","90","670","9.9","35","9","4","0","0","0","0","16","91.0","5.7","1.8%"
"14","Tyler Higbee (LAR)","61","85","560","9.2","37","4","5","0","0","0","0","15","86.0","5.7","44.3%"
"15","Jared Cook (FA)","48","83","564","11.8","42","9","4","0","0","0","0","16","84.4","5.3","0.0%"
"16","T.J. Hockenson (MIN)","61","84","583","9.6","33","9","4","0","0","0","0","12","84.3","7.0","99.2%"
"17","C.J. Uzomah (NYJ)","49","63","493","10.1","55","13","5","0","0","0","0","16","79.3","5.0","0.1%"
"18","Darren Waller (NYG)","55","93","665","12.1","33","15","2","0","0","0","0","11","78.5","7.1","62.7%"
"19","Tyler Conklin (NYJ)","61","87","593","9.7","40","7","3","0","0","0","0","17","77.3","4.5","20.0%"
"20","David Njoku (CLE)","36","53","475","13.2","71","15","4","1","1","0","0","15","71.6","4.8","90.8%"
"21","Gerald Everett (LAC)","48","63","478","10.0","41","8","4","3","20","0","2","15","69.8","4.7","34.0%"
"22","Cole Kmet (CHI)","60","93","612","10.2","25","7","0","1","0","0","0","17","61.2","3.6","82.2%"
"23","Evan Engram (JAC)","46","73","408","8.9","30","3","3","1","-3","0","1","15","56.5","3.8","94.9%"
"24","Mo Alie-Cox (IND)","24","45","316","13.2","37","6","4","0","0","0","0","17","55.6","3.3","0.1%"
"25","Foster Moreau (NO)","30","44","373","12.4","44","9","3","0","0","0","0","15","55.3","3.7","0.1%"
"26","Austin Hooper (LV)","38","61","345","9.1","34","5","3","0","0","0","0","15","54.5","3.6","0.3%"
"27","Jack Doyle (FA)","29","43","302","10.4","34","4","3","0","0","0","0","15","50.2","3.3","2.0%"
"28","Cameron Brate (FA)","30","57","245","8.2","18","0","4","0","0","0","0","16","48.5","3.0","2.0%"
"29","Albert Okwuegbunam (PHI)","33","40","330","10.0","64","6","2","0","0","0","1","14","43.0","3.1","0.1%"
"30","Harrison Bryant (CLE)","21","28","233","11.1","41","6","3","0","0","0","0","15","41.3","2.8","0.7%"
"31","Dan Arnold (FA)","35","52","408","11.7","28","2","0","0","0","0","1","11","40.8","3.7","0.0%"
"32","Juwan Johnson (NO)","13","22","159","12.2","27","3","4","0","0","0","0","13","39.9","3.1","20.9%"
"33","Jonnu Smith (ATL)","28","45","294","10.5","28","5","1","9","40","0","0","16","39.4","2.5","18.3%"
"34","Ricky Seals-Jones (FA)","30","49","271","9.0","39","2","2","0","0","0","0","11","39.1","3.6","0.0%"
"35","Anthony Firkser (DET)","34","43","291","8.6","24","1","2","0","0","0","1","15","39.1","2.6","0.0%"
"36","Geoff Swaim (ARI)","31","40","210","6.8","26","2","3","0","0","0","0","16","39.0","2.4","0.0%"
"37","Donald Parham Jr. (LAC)","20","27","190","9.5","22","1","3","0","0","0","0","14","39.0","2.8","2.8%"
"38","Hayden Hurst (CAR)","26","31","221","8.5","33","2","3","0","0","0","1","12","38.1","3.2","3.3%"
"39","Ryan Griffin (FA)","27","42","261","9.7","29","4","2","0","0","0","0","14","38.1","2.7","0.0%"
"40","Jimmy Graham (NO)","14","23","167","11.9","28","2","3","0","0","0","0","11","36.7","3.3","0.2%"
"41","Josiah Deguara (GB)","25","33","245","9.8","62","6","2","0","0","0","0","14","36.5","2.6","0.1%"
"42","Adam Trautman (DEN)","27","43","263","9.7","32","3","2","0","0","0","1","11","36.3","3.3","0.4%"
"43","Durham Smythe (MIA)","34","41","357","10.5","25","5","0","2","3","0","0","16","36.0","2.3","0.5%"
"44","Brevin Jordan (HOU)","20","28","178","8.9","27","2","3","0","0","0","0","8","35.8","4.5","7.6%"
"45","Logan Thomas (WAS)","18","25","196","10.9","35","3","3","0","0","0","1","5","35.6","7.1","53.5%"
"46","MyCole Pruitt (ATL)","14","19","145","10.4","22","2","3","0","0","0","0","13","34.5","2.7","0.0%"
"47","Kyle Rudolph (FA)","26","39","257","9.9","60","6","1","0","0","0","0","15","33.7","2.2","0.0%"
"48","Tommy Tremble (CAR)","20","35","180","9.0","30","2","1","3","11","1","0","15","33.1","2.2","0.1%"
"49","Robert Tonyan (CHI)","18","29","204","11.3","33","5","2","0","0","0","0","8","32.4","4.1","0.1%"
"50","John Bates (WAS)","20","25","249","12.5","32","5","1","0","0","0","0","13","30.9","2.4","0.1%"
"51","Will Dissly (SEA)","21","26","231","11.0","39","6","1","0","0","0","0","13","29.1","2.2","0.1%"
"52","James O'Shaughnessy (FA)","24","34","244","10.2","30","6","0","0","0","0","0","7","26.4","3.8","0.0%"
"53","Maxx Williams (FA)","16","17","193","12.1","34","4","1","0","0","0","0","5","25.3","5.1","0.0%"
"54","Brock Wright (DET)","12","17","117","9.8","36","3","2","0","0","0","0","8","23.7","3.0","0.1%"
"55","Tyler Kroft (MIA)","16","25","173","10.8","26","3","1","0","0","0","0","9","23.3","2.6","0.0%"
"56","Stephen Anderson (LAC)","16","19","165","10.3","34","4","1","0","0","0","0","14","22.5","1.6","0.0%"
"57","Blake Jarwin (FA)","11","17","96","8.7","20","1","2","0","0","0","0","8","21.6","2.7","4.0%"
"58","Marcedes Lewis (CHI)","23","28","214","9.3","23","3","0","0","0","0","0","13","21.4","1.6","0.0%"
"59","Eric Ebron (FA)","12","18","84","7.0","19","0","1","1","1","1","0","8","20.5","2.6","0.0%"
"60","O.J. Howard (FA)","14","21","135","9.6","21","1","1","0","0","0","0","11","19.5","1.8","0.0%"
"61","Nick Vannett (LAC)","9","15","133","14.8","30","3","1","0","0","0","0","7","19.3","2.8","0.0%"
"62","Ian Thomas (CAR)","18","30","188","10.4","41","5","0","0","0","0","0","14","18.8","1.3","0.0%"
"63","Jordan Akins (CLE)","24","33","214","8.9","31","2","0","1","3","0","2","12","17.7","1.5","0.0%"
"64","Zach Gentry (CIN)","19","25","167","8.8","25","2","0","0","0","0","0","10","16.7","1.7","0.0%"
"65","Pharaoh Brown (NE)","23","34","171","7.4","29","2","0","0","0","0","1","13","15.1","1.2","0.0%"
"66","Jesper Horsted (LV)","2","3","21","10.5","19","0","2","0","0","0","0","4","14.1","3.5","0.0%"
"67","Chris Manhertz (DEN)","6","9","71","11.8","22","1","1","0","0","0","0","10","13.1","1.3","0.0%"
"68","Lee Smith (FA)","9","11","65","7.2","22","1","1","0","0","0","0","10","12.5","1.3","0.0%"
"69","Jesse James (FA)","7","8","62","8.9","19","0","1","0","0","0","0","5","12.2","2.4","0.0%"
"70","Jacob Hollister (FA)","9","14","55","6.1","11","0","1","0","0","0","0","7","11.5","1.6","0.0%"
"71","Ross Dwelley (SF)","4","5","51","12.8","21","1","1","0","0","0","0","4","11.1","2.8","0.1%"
"72","Adam Shaheen (FA)","12","16","110","9.2","21","1","0","0","0","0","0","9","11.0","1.2","0.0%"
"73","Antony Auclair (FA)","5","5","47","9.4","15","0","1","0","0","0","0","4","10.7","2.7","0.0%"
"74","Eric Saubert (HOU)","8","12","47","5.9","11","0","1","0","0","0","0","10","10.7","1.1","0.0%"
"75","Kylen Granson (IND)","11","15","106","9.6","27","1","0","0","0","0","0","10","10.6","1.1","0.8%"
"76","Tommy Sweeney (FA)","9","12","44","4.9","13","0","1","0","0","0","0","7","10.4","1.5","0.0%"
"77","Chris Herndon IV (FA)","4","7","40","10.0","17","0","1","0","0","0","0","6","10.0","1.7","0.0%"
"78","Blake Bell (KC)","9","13","87","9.7","24","2","0","4","10","0","0","12","9.7","0.8","0.1%"
"79","Noah Gray (KC)","7","10","36","5.1","8","0","1","0","0","0","0","7","9.6","1.4","1.1%"
"80","Sean McKeon (DAL)","4","6","27","6.8","12","0","1","0","0","0","0","5","8.7","1.7","0.0%"
