Player,FPTS
Daniel Carlson,174.0
Nick Folk,171.0
Justin Tucker,162.0
Chris Boswell,162.0
Matt Gay,159.0
Greg Joseph,156.0
Matt Prater,154.0
Evan McPherson,154.0
Jake Elliott,150.0
Dustin Hopkins,147.0
Tyler Bass,143.0
Greg Zuerlein,140.0
Harrison Butker,140.0
Ryan Succop,138.0
Mason Crosby,134.0
Randy Bullock,130.0
Brandon McManus,129.0
Younghoe Koo,125.0
Graham Gano,123.0
Cairo Santos,116.0
Jason Sanders,115.0
Robbie Gould,112.0
Jason Myers,104.0
Michael Badgley,102.0
Joey Slye,100.0
Zane Gonzalez,98.0
Chase McLaughlin,93.0
Matthew Wright,87.0
Ka'imi Fairbairn,68.0
Brett Maher,62.0
Riley Patterson,59.0
Matt Ammendola,55.0
Rodrigo Blankenship,45.0
Brian Johnson,42.0
Austin Seibert,42.0
Eddy Pineiro,38.0
Tristan Vizcaino,29.0
Aldrick Rosas,22.0
Lirim Hajrullahu,20.0
Ryan Santoso,18.0
Elliott Fry,17.0
Dominik Eberle,13.0
Chris Blewitt,11.0
Josh Lambo,5.0
Chris Naggar,4.0
Cody Parkey,3.0
Cameron Nizialek,0.0
JJ Molson,0.0
Alex Kessman,0.0
Ty Long,0.0
Michael Palardy,0.0
,
,
