Player,FPTS
Josh Allen,417.7
Justin Herbert,395.6
Tom Brady,386.7
Patrick Mahomes II,374.2
Matthew Stafford,346.8
Aaron Rodgers,336.3
Dak Prescott,330.4
Joe Burrow,328.1
Jalen Hurts,321.2
Kyler Murray,310.5
Kirk Cousins,307.3
Ryan Tannehill,282.3
Derek Carr,270.6
Carson Wentz,264.9
Lamar Jackson,253.0
Russell Wilson,248.7
Jimmy Garoppolo,239.5
Mac Jones,238.0
Taylor Heinicke,236.7
Matt Ryan,234.8
Ben Roethlisberger,228.0
Trevor Lawrence,216.0
Teddy Bridgewater,209.8
Jared Goff,202.4
Baker Mayfield,193.8
Tua Tagovailoa,190.9
Daniel Jones,173.6
Sam Darnold,170.5
Davis Mills,167.0
Zach Wilson,162.9
Justin Fields,136.9
Jameis Winston,120.3
Trevor Siemian,93.2
Andy Dalton,93.1
Cam Newton,91.3
Tyrod Taylor,86.7
Tyler Huntley,86.7
Jacoby Brissett,76.4
Trey Lance,67.0
Geno Smith,55.3
Drew Lock,52.8
Mike White,52.0
Josh Johnson,48.4
Colt McCoy,42.3
Mike Glennon,40.9
Gardner Minshew II,34.6
Tim Boyle,30.4
Case Keenum,29.6
Cooper Rush,25.1
Jordan Love,24.2
Joe Flacco,23.8
Mason Rudolph,19.4
Nick Foles,16.8
P.J. Walker,16.8
Marcus Mariota,14.9
Jake Fromm,13.9
Brandon Allen,13.8
Sean Mannion,13.0
Brian Hoyer,12.3
Nick Mullens,9.9
Mitch Trubisky,9.1
Kyle Allen,7.9
Garrett Gilbert,7.8
Ian Book,4.0
Chad Henne,3.3
Chris Streveler,2.0
Blaine Gabbert,1.9
C.J. Beathard,1.5
Sam Ehlinger,0.9
Ryan Fitzpatrick,0.7
David Blough,0.6
Kellen Mond,0.2
Nathan Peterman,0.2
Brett Rypien,0.0
Jacob Eason,0.0
Trace McSorley,0.0
Kurt Benkert,-0.1
Chase Daniel,-0.2
Davis Webb,-0.3
Feleipe Franks,-0.4
Logan Woodside,-0.6
John Wolford,-0.9
Josh Rosen,-1.2
,
,
