Player,FPTS
Jonathan Taylor,333.1
Austin Ekeler,273.8
Joe Mixon,245.9
Najee Harris,226.7
James Conner,220.7
Ezekiel Elliott,205.1
Nick Chubb,195.3
Damien Harris,192.1
Alvin Kamara,187.7
Antonio Gibson,187.1
Leonard Fournette,186.6
Cordarrelle Patterson,182.6
Aaron Jones,177.0
Derrick Henry,175.3
Dalvin Cook,172.3
Josh Jacobs,172.0
Melvin Gordon III,167.2
Javonte Williams,161.9
Devin Singletary,157.8
David Montgomery,154.0
AJ Dillon,151.6
Darrel Williams,149.0
D'Andre Swift,146.9
Elijah Mitchell,146.0
James Robinson,142.9
Darrell Henderson Jr.,134.4
Sony Michel,125.3
Myles Gaskin,124.6
Tony Pollard,123.6
Michael Carter,118.4
Rashaad Penny,115.7
Chuba Hubbard,112.6
Devonta Freeman,112.6
Saquon Barkley,107.6
Devontae Booker,104.1
Rhamondre Stevenson,100.9
Chase Edmonds,100.3
Clyde Edwards-Helaire,97.5
Mike Davis,94.2
Alexander Mattison,93.9
Jamaal Williams,93.8
Latavius Murray,93.6
Miles Sanders,91.2
Christian McCaffrey,90.5
Kenneth Gainwell,90.4
Kareem Hunt,88.0
Boston Scott,85.6
D'Ernest Johnson,85.1
D'Onta Foreman,84.9
J.D. McKissic,84.9
Brandon Bolden,83.1
Ty Johnson,83.0
Zack Moss,82.2
Mark Ingram II,81.6
Rex Burkhead,79.3
Nyheim Hines,72.6
Kenyan Drake,72.5
Ronald Jones II,69.2
Khalil Herbert,64.9
Justin Jackson,64.2
Jordan Howard,60.5
Alex Collins,59.8
Samaje Perine,56.2
Duke Johnson Jr.,55.1
Dontrell Hilliard,53.7
Ameer Abdullah,51.5
David Johnson,49.3
Derrick Gore,48.1
Jaret Patterson,45.9
Travis Homer,45.8
Jeremy McNichols,45.6
Damien Williams,44.7
Jeff Wilson Jr.,44.5
Kyle Juszczyk,43.8
Chris Carson,42.1
Phillip Lindsay,41.4
Tevin Coleman,40.5
Peyton Barber,39.9
DeeJay Dallas,39.1
Dare Ogunbowale,37.1
Giovani Bernard,36.1
Matt Breida,35.7
Chris Evans,34.8
Carlos Hyde,33.8
Le'Veon Bell,33.1
Ty'Son Williams,32.9
Ke'Shawn Vaughn,32.6
Demetric Felton Jr.,32.5
Craig Reynolds,28.2
Elijhaa Penny,26.9
Salvon Ahmed,26.6
JaMycal Hasty,26.5
Trey Sermon,25.3
Royce Freeman,24.6
Corey Clement,22.9
Jerick McKinnon,22.9
Adrian Peterson,22.6
Eno Benjamin,22.0
Jermar Jefferson,21.7
Malcolm Brown,19.5
James White,19.2
Kene Nwangwu,19.0
Tony Jones Jr.,17.1
Austin Walter,17.0
Jonathan Williams,16.7
C.J. Ham,15.9
Qadree Ollison,15.7
Patrick Taylor Jr.,15.2
Larry Rountree III,14.6
Alec Ingold,14.6
J.J. Taylor,14.5
Godwin Igwebuike,14.0
Ty Montgomery II,13.9
Patrick Ricard,12.7
Wayne Gallman Jr.,12.5
Joshua Kelley,12.0
Michael Burton,11.7
Jalen Richard,11.2
Benny Snell Jr.,11.1
Marlon Mack,10.9
Ryquell Armstead,9.6
Deon Jackson,9.1
Andy Janovich,8.9
JaQuan Hardy,8.9
Keith Smith,8.7
Alex Armah Jr.,8.2
Johnny Stanton IV,7.2
Jonathan Ward,6.7
Ito Smith,6.4
Mike Boone,5.7
Trayveon Williams,5.5
Jason Huntley,5.1
Rodney Smith,4.8
Wendell Smallwood,4.7
Kalen Ballage,4.4
Jakob Johnson,4.3
La'Mical Perine,3.1
Kylin Hill,2.9
Dwayne Washington,2.8
Reggie Gilliam,2.6
Gabe Nabers,2.5
Jaylen Samuels,2.3
Scottie Phillips,2.2
Patrick Laird,2.1
Adam Prentice,2.1
Nick Bawden,2.0
Raheem Mostert,2.0
Darrynton Evans,1.8
Derek Watt,1.6
Reggie Bonnafon,1.6
Trey Ragas,1.5
Anthony McFarland Jr.,1.4
John Kelly Jr.,1.3
Cam Akers,1.3
Jacques Patrick,1.2
Buddy Howell,1.1
Mekhi Sargent,1.1
Gary Brightwell,1.0
Ryan Nall,0.8
Damarea Crockett,0.7
Jake Funk,0.5
Devine Ozigbo,0.4
Nathan Cottrell,0.3
Andrew Beck,0.0
Cullen Gillaspia,0.0
Sutton Smith,0.0
Darwin Thompson,0.0
Darius Bradwell,0.0
LeVante Bellamy,0.0
Artavis Pierce,0.0
Sandro Platzgummer,0.0
Sewo Olonilua,0.0
Kirk Merritt,0.0
Pooka Williams Jr.,0.0
J.K. Dobbins,0.0
Chris Myarick,0.0
Spencer Brown,0.0
Josh Johnson,0.0
B.J. Emmons,0.0
Nick Ralston,0.0
Tory Carter,0.0
Gerrid Doaks,0.0
Avery Williams,0.0
Nick Bellore,0.0
Taiwan Jones,0.0
Kenjon Barner,0.0
Elijah McGuire,0.0
Tarik Cohen,0.0
Brian Hill,0.0
Brandin Bryant,0.0
J.P. Holtz,0.0
Trey Edmunds,0.0
Jordan Wilkins,0.0
Jason Cabinda,0.0
Nate McCrary,-0.1
Khari Blasingame,-1.0
Trenton Cannon,-1.6
,
,
