Player,FPTS
Mark Andrews,194.1
Travis Kelce,170.8
Dalton Schultz,130.8
George Kittle,127.0
Rob Gronkowski,116.2
Dawson Knox,115.1
Hunter Henry,114.3
Dallas Goedert,109.0
Kyle Pitts,108.6
Zach Ertz,106.7
Mike Gesicki,92.0
Pat Freiermuth,91.7
Noah Fant,91.0
Tyler Higbee,86.0
Jared Cook,84.4
T.J. Hockenson,84.3
C.J. Uzomah,79.3
Darren Waller,78.5
Tyler Conklin,77.3
David Njoku,71.6
Gerald Everett,69.8
Cole Kmet,61.2
Evan Engram,56.5
Mo Alie-Cox,55.6
Foster Moreau,55.3
Austin Hooper,54.5
Jack Doyle,50.2
Cameron Brate,48.5
Albert Okwuegbunam,43.0
Harrison Bryant,41.3
Dan Arnold,40.8
Juwan Johnson,39.9
Jonnu Smith,39.4
Ricky Seals-Jones,39.1
Anthony Firkser,39.1
Geoff Swaim,39.0
Donald Parham Jr.,39.0
Hayden Hurst,38.1
Ryan Griffin,38.1
Jimmy Graham,36.7
Josiah Deguara,36.5
Adam Trautman,36.3
Durham Smythe,36.0
Brevin Jordan,35.8
Logan Thomas,35.6
MyCole Pruitt,34.5
Kyle Rudolph,33.7
Tommy Tremble,33.1
Robert Tonyan,32.4
John Bates,30.9
Will Dissly,29.1
James O'Shaughnessy,26.4
Maxx Williams,25.3
Brock Wright,23.7
Tyler Kroft,23.3
Stephen Anderson,22.5
Blake Jarwin,21.6
Marcedes Lewis,21.4
Eric Ebron,20.5
O.J. Howard,19.5
Nick Vannett,19.3
Ian Thomas,18.8
Jordan Akins,17.7
Zach Gentry,16.7
Pharaoh Brown,15.1
Jesper Horsted,14.1
Chris Manhertz,13.1
Lee Smith,12.5
Jesse James,12.2
Jacob Hollister,11.5
Ross Dwelley,11.1
Adam Shaheen,11.0
Antony Auclair,10.7
Eric Saubert,10.7
Kylen Granson,10.6
Tommy Sweeney,10.4
Chris Herndon IV,10.0
Blake Bell,9.7
Noah Gray,9.6
Sean McKeon,8.7
Tyree Jackson,8.2
Drew Sample,8.1
Chris Myarick,7.7
Josh Oliver,6.6
Luke Farrell,5.6
Charlie Woerner,5.2
Tre' McKitty,4.5
Parker Hesse,4.3
Darren Fells,4.3
Garrett Griffin,3.9
Kendall Blanton,3.7
Kenny Yeboah,3.6
Tyler Davis,3.5
Trevon Wesco,3.5
Shane Zylstra,3.4
Dominique Dafney,3.4
Kaden Smith,3.3
Colby Parkinson,3.3
Jeremy Sprinkle,3.1
Tommy Hudson,3.1
Daniel Brown,2.9
Jack Stoll,2.2
Mitchell Wilcox,1.6
Cethan Carter,1.6
Derek Carrier,1.3
Luke Stocker,1.2
Richard Rodgers,1.1
Demetrius Harris,1.0
Johnny Mundt,0.9
Brycen Hopkins,0.9
Hunter Long,0.8
Ethan Wolf,0.8
Kevin Rader,0.8
Eric Tomlinson,0.7
Nick Boyle,0.2
Matthew Orzech,0.0
Jared Pinkney,0.0
Antonio Gandy-Golden,0.0
Andrew Beck,0.0
Jody Fortson,0.0
Feleipe Franks,0.0
Farrod Green,0.0
Stephen Sullivan,0.0
Noah Togiai,0.0
Ben Ellefson,0.0
Giovanni Ricci,0.0
Reggie Gilliam,0.0
Rashod Berry,0.0
Miller Forristall,0.0
Jake Hausmann,0.0
Nick Ralston,0.0
Briley Moore,0.0
Jacob Harris,0.0
Sammis Reyes,0.0
Clark Harris,0.0
Darrell Daniels,0.0
J.P. Holtz,0.0
Deon Yelder,0.0
Codey McElroy,0.0
Taysom Hill,0.0
Colin Thompson,0.0
James Winchester,0.0
Patrick Scales,0.0
Andrew DePaola,0.0
Daniel Helm,-0.1
,
,
