,FPTS,Position,Price,Value
Josh Allen,417.7,qb,3.18,23.205555555555556
Justin Herbert,395.6,qb,3.01,21.977777777777778
Tom Brady,386.7,qb,2.94,21.483333333333334
Patrick Mahomes II,374.2,qb,2.84,20.788888888888888
Matthew Stafford,346.8,qb,2.63,19.266666666666666
Aaron Rodgers,336.3,qb,2.54,18.683333333333334
Dak Prescott,330.4,qb,2.5,18.355555555555554
Joe Burrow,328.1,qb,2.48,18.227777777777778
Jalen Hurts,321.2,qb,2.43,17.844444444444445
Kyler Murray,310.5,qb,2.34,17.25
Kirk Cousins,307.3,qb,2.32,17.072222222222223
Ryan Tannehill,282.3,qb,2.12,15.683333333333334
Derek Carr,270.6,qb,2.03,15.033333333333335
Carson Wentz,264.9,qb,1.98,14.716666666666665
Lamar Jackson,253.0,qb,1.89,14.055555555555555
Russell Wilson,248.7,qb,1.85,13.816666666666666
Jimmy Garoppolo,239.5,qb,1.78,13.305555555555555
Mac Jones,238.0,qb,1.77,13.222222222222221
Taylor Heinicke,236.7,qb,1.76,13.149999999999999
Matt Ryan,234.8,qb,1.75,13.044444444444444
Ben Roethlisberger,228.0,qb,1.69,12.666666666666666
Trevor Lawrence,216.0,qb,1.6,12.0
Teddy Bridgewater,209.8,qb,1.55,11.655555555555557
Jared Goff,202.4,qb,1.49,11.244444444444445
Baker Mayfield,193.8,qb,1.42,10.766666666666667
Tua Tagovailoa,190.9,qb,1.4,10.605555555555556
Daniel Jones,173.6,qb,1.26,9.644444444444444
Sam Darnold,170.5,qb,1.24,9.472222222222221
Davis Mills,167.0,qb,1.21,9.277777777777779
Zach Wilson,162.9,qb,1.18,9.05
Justin Fields,136.9,qb,0.98,7.605555555555556
Jameis Winston,120.3,qb,0.84,6.683333333333334
Trevor Siemian,93.2,qb,0.63,5.177777777777778
Andy Dalton,93.1,qb,0.63,5.172222222222222
Cam Newton,91.3,qb,0.62,5.072222222222222
Tyrod Taylor,86.7,qb,0.58,4.816666666666666
Jacoby Brissett,76.4,qb,0.5,4.2444444444444445
Trey Lance,67.0,qb,0.43,3.7222222222222223
Geno Smith,55.3,qb,0.33,3.072222222222222
Drew Lock,52.8,qb,0.31,2.933333333333333
Mike White,52.0,qb,0.31,2.888888888888889
Josh Johnson,48.4,qb,0.28,2.6888888888888887
Colt McCoy,42.3,qb,0.23,2.3499999999999996
Mike Glennon,40.9,qb,0.22,2.272222222222222
Gardner Minshew II,34.6,qb,0.17,1.9222222222222223
Tim Boyle,30.4,qb,0.14,1.6888888888888889
Case Keenum,29.6,qb,0.13,1.6444444444444446
Cooper Rush,25.1,qb,0.1,1.3944444444444446
Jordan Love,24.2,qb,0.09,1.3444444444444443
Joe Flacco,23.8,qb,0.09,1.3222222222222222
Mason Rudolph,19.4,qb,0.05,1.0777777777777777
Nick Foles,16.8,qb,0.03,0.9333333333333333
Marcus Mariota,14.9,qb,0.02,0.8277777777777778
Jake Fromm,13.9,qb,0.01,0.7722222222222223
Brandon Allen,13.8,qb,0.01,0.7666666666666667
Sean Mannion,13.0,qb,0.0,0.7222222222222222
Brian Hoyer,12.3,qb,0.0,0.6833333333333333
Nick Mullens,9.9,qb,0.0,0.55
Mitch Trubisky,9.1,qb,0.0,0.5055555555555555
Kyle Allen,7.9,qb,0.0,0.4388888888888889
Garrett Gilbert,7.8,qb,0.0,0.43333333333333335
Ian Book,4.0,qb,0.0,0.2222222222222222
Chad Henne,3.3,qb,0.0,0.18333333333333332
Chris Streveler,2.0,qb,0.0,0.1111111111111111
Blaine Gabbert,1.9,qb,0.0,0.10555555555555556
C.J. Beathard,1.5,qb,0.0,0.08333333333333333
Sam Ehlinger,0.9,qb,0.0,0.05
Ryan Fitzpatrick,0.7,qb,0.0,0.03888888888888889
David Blough,0.6,qb,0.0,0.03333333333333333
Kellen Mond,0.2,qb,0.0,0.011111111111111112
Brett Rypien,0.0,qb,0.0,0.0
Kurt Benkert,-0.1,qb,0.0,-0.005555555555555556
Chase Daniel,-0.2,qb,0.0,-0.011111111111111112
Davis Webb,-0.3,qb,0.0,-0.016666666666666666
Feleipe Franks,-0.4,qb,0.0,-0.022222222222222223
Logan Woodside,-0.6,qb,0.0,-0.03333333333333333
John Wolford,-0.9,qb,0.0,-0.05
Josh Rosen,-1.2,qb,0.0,-0.06666666666666667
Jonathan Taylor,333.1,rb,5.16,18.505555555555556
