Player,FPTS,FPTS/G,ROST
Joe Burrow,32.5,32.5,39.5%
Matt Ryan,27.2,27.2,0.0%
Josh Allen,26.4,26.4,100.0%
Trevor Lawrence,24.9,24.9,91.2%
Marcus Mariota,24.2,24.2,0.2%
Patrick Mahomes II,21.6,21.6,100.0%
Teddy Bridgewater,20.2,20.2,0.1%
Justin Fields,19.4,19.4,86.7%
Jimmy Garoppolo,18.9,18.9,2.8%
Bailey Zappe,17.4,17.4,1.9%
Lamar Jackson,17.1,17.1,99.1%
Jalen Hurts,16.9,16.9,100.0%
Kirk Cousins,16.5,16.5,20.8%
Kyler Murray,15.9,15.9,73.2%
Russell Wilson,13.8,13.8,69.9%
Tom Brady,13.7,13.7,0.8%
Daniel Jones,13.5,13.5,19.3%
Matthew Stafford,12.8,12.8,44.5%
Geno Smith,12.7,12.7,62.4%
Aaron Rodgers,11.8,11.8,19.8%
Jacoby Brissett,10.6,10.6,0.1%
Andy Dalton,10.5,10.5,0.1%
Mitch Trubisky,10.3,10.3,1.8%
Justin Herbert,9.4,9.4,98.6%
Kenny Pickett,8.3,8.3,17.1%
Cooper Rush,8.2,8.2,0.1%
Zach Wilson,4.5,4.5,3.4%
Skylar Thompson,4.5,4.5,0.0%
Carson Wentz,4.2,4.2,0.2%
P.J. Walker,2.3,2.3,0.6%
Jacob Eason,1.4,1.4,0.0%
Jordan Love,0.3,0.3,72.8%
Austin Ekeler,31.9,31.9,100.0%
Leonard Fournette,25.9,25.9,4.5%
Breece Hall,25.7,25.7,97.4%
Nick Chubb,25.4,25.4,22.3%
Josh Jacobs,25.3,25.3,99.6%
Derrick Henry,25.2,25.2,99.8%
Dalvin Cook,24.1,24.1,23.9%
Jeff Wilson Jr.,19.2,19.2,15.8%
Tevin Coleman,18.7,18.7,0.0%
Raheem Mostert,18.2,18.2,97.7%
Rhamondre Stevenson,17.5,17.5,92.9%
Alvin Kamara,17.4,17.4,98.7%
Dameon Pierce,17.3,17.3,68.0%
Saquon Barkley,16.6,16.6,99.9%
Christian McCaffrey,16.4,16.4,100.0%
Michael Carter,15.3,15.3,1.5%
Kenneth Walker III,14.8,14.8,96.4%
Tony Pollard,14.6,14.6,99.8%
David Montgomery,14.2,14.2,95.9%
Joshua Kelley,14.2,14.2,11.4%
Kareem Hunt,11.7,11.7,55.5%
