Player,FPTS,FPTS/G,ROST
Minnesota Vikings,15.0,15.0,26.2%
Washington Commanders,15.0,15.0,18.0%
Tennessee Titans,12.0,12.0,8.3%
Detroit Lions,10.0,10.0,32.8%
Pittsburgh Steelers,10.0,10.0,89.2%
Carolina Panthers,10.0,10.0,6.4%
New York Giants,9.0,9.0,6.3%
Arizona Cardinals,8.0,8.0,1.0%
Buffalo Bills,8.0,8.0,74.0%
New Orleans Saints,7.0,7.0,60.5%
Philadelphia Eagles,7.0,7.0,62.1%
Miami Dolphins,6.0,6.0,91.7%
Tampa Bay Buccaneers,6.0,6.0,49.0%
San Francisco 49ers,6.0,6.0,94.9%
Jacksonville Jaguars,6.0,6.0,55.5%
Kansas City Chiefs,6.0,6.0,72.9%
Dallas Cowboys,5.0,5.0,96.5%
Green Bay Packers,5.0,5.0,54.0%
Denver Broncos,4.0,4.0,23.5%
Seattle Seahawks,4.0,4.0,22.0%
Las Vegas Raiders,3.0,3.0,9.8%
Indianapolis Colts,3.0,3.0,33.2%
Houston Texans,3.0,3.0,54.5%
Los Angeles Chargers,3.0,3.0,30.2%
Los Angeles Rams,2.0,2.0,22.6%
Chicago Bears,2.0,2.0,3.9%
Atlanta Falcons,1.0,1.0,49.4%
Cleveland Browns,-3.0,-3.0,82.1%
,,,
,,,
