Player,FPTS,FPTS/G,ROST
Nick Folk,17.0,17.0,33.1%
Ryan Succop,12.0,12.0,0.0%
Riley Patterson,11.0,11.0,42.8%
Justin Tucker,10.0,10.0,93.6%
Greg Zuerlein,10.0,10.0,7.1%
Greg Joseph,8.0,8.0,5.2%
Jason Myers,8.0,8.0,53.9%
Cameron Dicker,8.0,8.0,71.0%
Daniel Carlson,8.0,8.0,37.9%
Wil Lutz,7.0,7.0,15.3%
Matt Gay,7.0,7.0,51.6%
Tyler Bass,7.0,7.0,59.2%
Joey Slye,6.0,6.0,1.0%
Randy Bullock,6.0,6.0,0.1%
Evan McPherson,6.0,6.0,77.2%
Harrison Butker,6.0,6.0,91.8%
Cairo Santos,6.0,6.0,6.5%
Jason Sanders,5.0,5.0,63.5%
Younghoe Koo,5.0,5.0,52.5%
Ka'imi Fairbairn,5.0,5.0,2.4%
Chase McLaughlin,4.0,4.0,5.1%
Matt Prater,3.0,3.0,8.8%
Mason Crosby,3.0,3.0,0.1%
Eddy Pineiro,3.0,3.0,5.8%
Jake Elliott,3.0,3.0,87.2%
Michael Badgley,1.0,1.0,0.0%
,,,
,,,
