Player,FPTS,FPTS/G,ROST
Josh Allen,30.9,30.9,100.0%
Jalen Hurts,29.8,29.8,100.0%
Justin Herbert,28.8,28.8,98.6%
Kyler Murray,26.2,26.2,73.2%
Trevor Lawrence,24.9,24.9,91.2%
Mike White,24.8,24.8,0.1%
Mac Jones,23.3,23.3,3.8%
Lamar Jackson,23.1,23.1,99.1%
Kirk Cousins,22.9,22.9,20.8%
Derek Carr,22.8,22.8,34.8%
Geno Smith,20.3,20.3,62.4%
Patrick Mahomes II,19.4,19.4,100.0%
Joe Burrow,18.0,18.0,39.5%
Tom Brady,18.0,18.0,0.8%
Jared Goff,17.6,17.6,82.5%
Sam Darnold,16.9,16.9,0.3%
Dak Prescott,16.8,16.8,97.5%
Tua Tagovailoa,16.0,16.0,97.0%
Marcus Mariota,14.9,14.9,0.2%
Daniel Jones,14.5,14.5,19.3%
Jacoby Brissett,14.1,14.1,0.1%
Jimmy Garoppolo,13.3,13.3,2.8%
Ryan Tannehill,12.5,12.5,1.6%
Taylor Heinicke,12.4,12.4,3.0%
Kenny Pickett,12.2,12.2,17.1%
Kyle Allen,11.8,11.8,0.1%
Aaron Rodgers,11.5,11.5,19.8%
Matt Ryan,11.2,11.2,0.0%
Trevor Siemian,11.0,11.0,0.1%
Bryce Perkins,10.4,10.4,0.0%
Andy Dalton,10.3,10.3,0.1%
Jordan Love,8.5,8.5,72.8%
Russell Wilson,8.5,8.5,69.9%
Matt Barkley,0.0,0.0,0.0%
Skylar Thompson,-1.3,-1.3,0.0%
,,,
,,,
