Player,FPTS,FPTS/G,ROST
Tony Pollard,22.6,22.6,99.8%
Christian McCaffrey,20.6,20.6,100.0%
Josh Jacobs,19.0,19.0,99.6%
Cam Akers,18.0,18.0,20.9%
AJ Dillon,17.9,17.9,71.7%
D'Andre Swift,17.1,17.1,96.9%
Samaje Perine,15.5,15.5,32.8%
Ezekiel Elliott,15.1,15.1,56.3%
Dalvin Cook,14.3,14.3,23.9%
Isiah Pacheco,14.2,14.2,96.5%
Saquon Barkley,14.1,14.1,99.9%
David Montgomery,12.7,12.7,95.9%
Jerick McKinnon,12.0,12.0,23.3%
Zonovan Knight,11.8,11.8,0.3%
Devin Singletary,11.1,11.1,75.5%
Brian Robinson Jr.,11.1,11.1,89.3%
Rachaad White,10.9,10.9,95.8%
James Cook,10.5,10.5,94.3%
Jonathan Taylor,10.3,10.3,95.7%
Miles Sanders,9.8,9.8,51.0%
Jamaal Williams,9.5,9.5,17.8%
Dameon Pierce,9.5,9.5,68.0%
Najee Harris,9.2,9.2,93.6%
Malik Davis,8.9,8.9,0.1%
Austin Ekeler,8.2,8.2,100.0%
Leonard Fournette,8.1,8.1,4.5%
Nick Chubb,8.0,8.0,22.3%
Alexander Mattison,7.8,7.8,86.3%
Rhamondre Stevenson,7.8,7.8,92.9%
Kareem Hunt,7.4,7.4,55.5%
Kyle Juszczyk,7.2,7.2,0.3%
Chris Evans,6.8,6.8,0.2%
Latavius Murray,6.1,6.1,15.7%
Cordarrelle Patterson,6.0,6.0,2.0%
Antonio Gibson,5.9,5.9,50.0%
Kenneth Gainwell,5.3,5.3,23.6%
Tyler Allgeier,5.2,5.2,46.9%
Jordan Mason,5.1,5.1,0.9%
Aaron Jones,5.0,5.0,92.5%
Mark Ingram II,4.9,4.9,0.0%
Kenyan Drake,4.6,4.6,0.1%
Travis Etienne Jr.,4.6,4.6,99.9%
Ty Johnson,4.1,4.1,0.1%
Derrick Henry,3.8,3.8,99.8%
DeeJay Dallas,3.7,3.7,0.9%
Alvin Kamara,3.7,3.7,98.7%
Kenneth Walker III,3.6,3.6,96.4%
Benny Snell Jr.,3.5,3.5,0.0%
Tony Jones Jr.,3.2,3.2,0.3%
Raheem Mostert,3.0,3.0,97.7%
Joshua Kelley,3.0,3.0,11.4%
Mike Boone,2.6,2.6,0.6%
Justin Jackson,2.3,2.3,0.0%
Darrynton Evans,2.1,2.1,0.1%
Boston Scott,2.1,2.1,0.2%
Dare Ogunbowale,2.1,2.1,0.1%
Jaylen Warren,1.9,1.9,83.5%
Zack Moss,1.8,1.8,88.5%
Nyheim Hines,1.8,1.8,0.1%
Caleb Huntley,1.7,1.7,0.0%
Dontrell Hilliard,1.6,1.6,0.0%
Alec Ingold,1.5,1.5,0.1%
Julius Chestnut,1.3,1.3,0.1%
Gus Edwards,1.2,1.2,82.0%
James Robinson,1.0,1.0,0.6%
Kyren Williams,0.9,0.9,94.4%
Marlon Mack,0.9,0.9,0.0%
Derek Watt,0.7,0.7,0.0%
Zamir White,0.6,0.6,1.3%
Snoop Conner,0.6,0.6,0.0%
Deon Jackson,0.6,0.6,1.3%
Patrick Taylor Jr.,0.6,0.6,1.2%
Justice Hill,0.6,0.6,12.4%
Ameer Abdullah,0.4,0.4,0.5%
Matt Breida,0.4,0.4,2.6%
Trayveon Williams,0.3,0.3,0.7%
Jerome Ford,0.3,0.3,86.9%
Jeff Wilson Jr.,0.3,0.3,15.8%
Adam Prentice,0.2,0.2,0.0%
Jonathan Williams,0.1,0.1,0.0%
Demetric Felton Jr.,0.0,0.0,0.0%
Chris Myarick,0.0,0.0,0.0%
Troy Hairston II,0.0,0.0,0.0%
Trestan Ebner,0.0,0.0,0.0%
Bryant Koback,0.0,0.0,0.0%
Avery Williams,0.0,0.0,0.0%
Gary Brightwell,0.0,0.0,0.3%
C.J. Ham,0.0,0.0,0.1%
Patrick Ricard,0.0,0.0,0.1%
Jason Cabinda,0.0,0.0,0.0%
Keith Smith,0.0,0.0,0.0%
Michael Burton,0.0,0.0,0.0%
Kevin Harris,-0.1,-0.1,0.1%
,,,
,,,
