Player,FPTS,FPTS/G,ROST
Mark Andrews,20.9,20.9,57.4%
David Njoku,14.9,14.9,90.8%
Travis Kelce,13.9,13.9,100.0%
Jelani Woods,13.3,13.3,0.9%
Will Dissly,9.4,9.4,0.1%
Jordan Akins,9.1,9.1,0.0%
Kyle Pitts,8.7,8.7,81.5%
Dallas Goedert,8.6,8.6,82.7%
Tyler Conklin,8.4,8.4,20.0%
Geoff Swaim,7.9,7.9,0.0%
T.J. Hockenson,7.8,7.8,99.2%
Josh Oliver,6.8,6.8,0.2%
Tyler Higbee,6.1,6.1,44.3%
Cameron Brate,5.2,5.2,2.0%
Zach Ertz,4.5,4.5,14.2%
Colby Parkinson,4.4,4.4,0.1%
Foster Moreau,4.4,4.4,0.1%
Peyton Hendershot,4.3,4.3,0.1%
Pat Freiermuth,4.1,4.1,72.6%
Grant Calcaterra,4.0,4.0,0.1%
Daniel Bellinger,4.0,4.0,0.8%
Cole Kmet,4.0,4.0,82.2%
Robert Tonyan,3.7,3.7,0.1%
Irv Smith Jr.,3.2,3.2,3.4%
Pharaoh Brown,3.1,3.1,0.0%
Evan Engram,2.9,2.9,94.9%
Kendall Blanton,2.8,2.8,0.0%
George Kittle,2.8,2.8,99.7%
Noah Fant,2.7,2.7,1.8%
Tyler Davis,2.6,2.6,0.0%
Noah Gray,2.6,2.6,1.1%
Gerald Everett,2.5,2.5,34.0%
Dawson Knox,2.5,2.5,5.4%
Jonnu Smith,2.5,2.5,18.3%
Ben Ellefson,2.4,2.4,0.0%
Johnny Mundt,2.3,2.3,0.0%
Durham Smythe,2.3,2.3,0.5%
Darren Waller,2.2,2.2,62.7%
Anthony Firkser,2.2,2.2,0.0%
Quintin Morris,2.2,2.2,0.0%
Austin Hooper,1.9,1.9,0.3%
Giovanni Ricci,1.5,1.5,0.0%
Jake Ferguson,1.3,1.3,87.0%
Ian Thomas,1.3,1.3,0.0%
Kyle Rudolph,1.2,1.2,0.0%
Albert Okwuegbunam,1.2,1.2,0.1%
Mitchell Wilcox,0.9,0.9,0.0%
Adam Trautman,0.9,0.9,0.4%
Mo Alie-Cox,0.9,0.9,0.1%
Hunter Henry,0.8,0.8,20.1%
Isaiah Likely,0.8,0.8,38.8%
Tommy Tremble,0.7,0.7,0.1%
Hayden Hurst,0.7,0.7,3.3%
Kylen Granson,0.7,0.7,0.8%
Chris Myarick,0.6,0.6,0.0%
Mike Gesicki,0.6,0.6,3.3%
Nick Vannett,0.5,0.5,0.0%
Logan Thomas,0.5,0.5,53.5%
C.J. Uzomah,0.5,0.5,0.1%
Jack Stoll,0.4,0.4,0.2%
Jody Fortson,0.0,0.0,0.0%
Jesper Horsted,0.0,0.0,0.0%
Reggie Gilliam,0.0,0.0,0.0%
Parker Hesse,0.0,0.0,0.0%
Juwan Johnson,0.0,0.0,20.9%
Jake Tonges,0.0,0.0,0.0%
Armani Rogers,0.0,0.0,0.0%
Ko Kieft,0.0,0.0,0.0%
Hunter Long,0.0,0.0,0.0%
Tre' McKitty,0.0,0.0,0.0%
Miller Forristall,0.0,0.0,0.0%
John Bates,0.0,0.0,0.1%
Shane Zylstra,0.0,0.0,0.0%
Austin Allen,0.0,0.0,0.0%
Jacob Harris,0.0,0.0,0.0%
O.J. Howard,0.0,0.0,0.0%
Zach Wood,0.0,0.0,0.0%
Stephen Anderson,0.0,0.0,0.0%
Eric Saubert,0.0,0.0,0.0%
,,,
,,,
