Player,FPTS,FPTS/G,ROST
A.J. Brown,33.6,33.6,100.0%
Jaylen Waddle,22.6,22.6,99.4%
DeAndre Hopkins,21.9,21.9,94.9%
DJ Moore,21.5,21.5,96.6%
Tyreek Hill,19.5,19.5,100.0%
Amari Cooper,18.1,18.1,92.9%
Stefon Diggs,16.8,16.8,100.0%
Rondale Moore,16.4,16.4,21.2%
Cooper Kupp,14.9,14.9,99.0%
Brandon Aiyuk,14.1,14.1,97.6%
CeeDee Lamb,13.8,13.8,100.0%
Damiere Byrd,12.7,12.7,0.0%
Devin Duvernay,12.4,12.4,0.1%
Mike Evans,12.3,12.3,97.3%
Jerry Jeudy,12.3,12.3,63.9%
Romeo Doubs,12.2,12.2,48.4%
Jakobi Meyers,12.0,12.0,79.1%
Zach Pascal,11.7,11.7,0.0%
DK Metcalf,11.5,11.5,98.2%
Garrett Wilson,11.5,11.5,97.3%
Tee Higgins,10.9,10.9,89.4%
Terry McLaurin,10.6,10.6,90.8%
Tyler Lockett,10.3,10.3,91.9%
Tyler Boyd,9.8,9.8,49.6%
Justin Jefferson,9.8,9.8,99.9%
Samori Toure,9.7,9.7,0.1%
Terrace Marshall Jr.,8.7,8.7,0.3%
Chase Claypool,8.5,8.5,2.4%
N'Keal Harry,8.4,8.4,0.0%
Donovan Peoples-Jones,8.1,8.1,2.2%
Julio Jones,8.1,8.1,1.5%
Curtis Samuel,7.9,7.9,39.8%
Denzel Mims,7.6,7.6,0.0%
Kalif Raymond,7.6,7.6,1.9%
Chris Godwin,7.5,7.5,88.5%
Brandin Cooks,7.3,7.3,70.5%
Parris Campbell,7.1,7.1,2.5%
Darnell Mooney,7.0,7.0,17.6%
Isaiah McKenzie,7.0,7.0,0.2%
Amon-Ra St. Brown,6.9,6.9,100.0%
K.J. Osborn,6.8,6.8,22.4%
Adam Thielen,6.7,6.7,91.4%
Darius Slayton,6.6,6.6,2.2%
Alec Pierce,6.5,6.5,2.7%
Mack Hollins,6.4,6.4,0.4%
Demarcus Robinson,6.4,6.4,0.1%
KJ Hamler,6.1,6.1,0.0%
Allen Robinson II,5.4,5.4,1.1%
Michael Pittman Jr.,5.3,5.3,96.1%
Chris Olave,5.2,5.2,98.4%
Michael Gallup,4.9,4.9,19.7%
Christian Kirk,4.0,4.0,86.5%
Velus Jones Jr.,3.8,3.8,0.1%
Rashid Shaheed,3.8,3.8,32.0%
Diontae Johnson,3.5,3.5,80.9%
Gabe Davis,3.5,3.5,81.3%
Zay Jones,3.5,3.5,23.7%
Marquise Goodwin,3.3,3.3,0.1%
Drake London,3.1,3.1,82.4%
Keelan Cole Sr.,3.0,3.0,0.0%
Trenton Irwin,2.7,2.7,1.9%
David Bell,2.7,2.7,0.1%
Laviska Shenault Jr.,2.6,2.6,0.1%
Trent Sherfield,2.5,2.5,0.1%
James Proche II,2.4,2.4,0.0%
DeVonta Smith,2.3,2.3,98.3%
Jeff Smith,2.3,2.3,0.0%
Amari Rodgers,2.2,2.2,0.0%
Cam Sims,2.1,2.1,0.0%
Steven Sims Jr.,2.0,2.0,0.0%
Dante Pettis,1.8,1.8,0.0%
Wan'Dale Robinson,1.5,1.5,6.2%
Josh Reynolds,1.4,1.4,11.4%
Courtland Sutton,1.3,1.3,86.9%
Tyquan Thornton,1.3,1.3,1.0%
Scott Miller,1.3,1.3,0.0%
Christian Watson,1.2,1.2,78.8%
Breshad Perriman,1.1,1.1,0.0%
KaVontae Turpin,1.1,1.1,0.7%
Ray-Ray McCloud III,1.1,1.1,1.1%
Marquez Callaway,1.0,1.0,0.0%
Ben Skowronek,1.0,1.0,0.1%
Maurice Alexander,0.7,0.7,0.0%
Phillip Dorsett II,0.6,0.6,0.0%
Equanimeous St. Brown,0.6,0.6,0.1%
Michael Woods II,0.6,0.6,0.0%
Robert Woods,0.6,0.6,7.8%
Hunter Renfrow,0.6,0.6,2.3%
